,pop,depth,cell.type,cell.type.idx,x,y
cell230,4_1,0.471380471380471,4_1_1,7,8,11
cell231,4_1,0.464646464646465,4_1_1,7,7,11
cell232,4_5,0.45945945945946,4_5_1,1,14,12
cell233,4_5,0.452702702702703,4_5_1,1,11,26
cell234,4_1,0.444444444444444,4_1_1,7,5,13
cell235,4_5,0.439189189189189,4_5_1,1,6,16
cell236,4_5,0.432432432432432,4_5_1,1,21,18
cell237,4_5,0.425675675675676,4_5_1,1,8,10
cell238,4_5,0.418918918918919,4_5_1,1,14,9
cell239,4_5,0.412162162162162,4_5_1,1,5,21
cell240,4_1,0.404040404040404,4_1_1,7,23,15
cell241,4_5,0.398648648648649,4_5_1,1,18,11
cell242,4_5,0.391891891891892,4_5_1,1,20,23
cell243,4_1,0.383838383838384,4_1_1,7,4,18
cell244,4_1,0.377104377104377,4_1_1,7,7,12
cell245,4_5,0.371621621621622,4_5_1,1,18,9
cell246,4_5,0.364864864864865,4_5_1,1,6,19
cell247,4_1,0.356902356902357,4_1_1,7,17,26
cell248,4_5,0.351351351351351,4_5_1,1,11,27
cell249,4_5,0.344594594594595,4_5_1,1,5,20
cell250,4_5,0.337837837837838,4_5_1,1,15,8
cell251,4_1,0.32996632996633,4_1_1,7,13,8
cell252,4_1,0.323232323232323,4_1_1,7,5,19
cell253,4_5,0.317567567567568,4_5_1,1,3,16
cell254,4_5,0.310810810810811,4_5_1,1,7,19
cell255,4_5,0.304054054054054,4_5_1,1,9,19
cell256,4_1,0.296296296296296,4_1_1,7,24,15
cell257,4_1,0.28956228956229,4_1_1,7,12,10
cell258,4_5,0.283783783783784,4_5_1,1,26,11
cell259,4_5,0.277027027027027,4_5_1,1,19,10
cell260,4_5,0.27027027027027,4_5_1,1,21,23
cell261,4_1,0.262626262626263,4_1_1,7,13,7
cell262,4_5,0.256756756756757,4_5_1,1,17,24
cell263,4_5,0.25,4_5_1,1,21,19
cell264,4_1,0.242424242424242,4_1_1,7,11,10
cell265,4_1,0.235690235690236,4_1_1,7,24,10
cell266,4_1,0.228956228956229,4_1_1,7,12,7
cell267,4_5,0.222972972972973,4_5_1,1,17,25
cell268,4_5,0.216216216216216,4_5_1,1,5,22
cell269,4_5,0.20945945945946,4_5_1,1,14,7
cell270,4_5,0.202702702702703,4_5_1,1,4,21
cell271,4_1,0.195286195286195,4_1_1,7,9,10
cell272,4_5,0.189189189189189,4_5_1,1,14,26
cell273,4_5,0.182432432432432,4_5_1,1,23,16
cell274,4_5,0.175675675675676,4_5_1,1,12,9
cell275,4_1,0.168350168350168,4_1_1,7,24,8
cell276,4_5,0.162162162162162,4_5_1,1,15,7
cell277,4_1,0.154882154882155,4_1_1,7,6,13
cell278,4_5,0.148648648648649,4_5_1,1,20,22
cell279,4_5,0.141891891891892,4_5_1,1,4,17
cell280,4_5,0.135135135135135,4_5_1,1,20,8
cell281,4_5,0.128378378378378,4_5_1,1,25,12
