GeneNames,BSP,Hotspot,Giotto_kmeans,Giotto_rank,Moran's I,SpatialDE,SPARK
GATA3,0.0002692935008096,5.602626652607323e-260,1.10513080021204e-23,1.1838856609650099e-26,0.0009756097560975,0.0,1.73646963301729e-15
GJB2,0.599939263826552,4.136132707407176e-24,0.0171077545028872,0.0194674447791475,0.0019512195121951,0.0,5.01150819048243e-10
GLIPR1,0.49884103741125,4.1550977144778674e-223,5.01565004273265e-43,7.85058267558153e-43,0.0009756097560975,0.6562356236249008,1.73646963301729e-15
GPR183,0.402284130005859,9.238011140393773e-90,3.2120214731449397e-26,4.28269529752658e-26,0.0009756097560975,7.299211740081032e-14,1.82365945634694e-15
GZMA,0.613621996893268,3.6543290208935455e-159,3.0429956007736304e-09,3.6065133046206e-09,0.0009756097560975,1.229738628442438e-12,1.11005358212422e-14
HAVCR2,0.724407076578435,3.805403654778063e-38,8.99820698957834e-05,0.0001062719273769,0.0009756097560975,0.6562356236249008,1.84285587167691e-14
HDC,0.39412124931969,0.2171752787303845,1.23649128107623e-10,0.157929025880407,0.35609756097561,0.0,1.0
HMGA1,0.19671091501547,1.4958653150609344e-05,0.0004194464641982,0.167673119700442,0.0009756097560975,6.728624391667617e-16,0.0003989167460588
HOOK2,0.652693943131692,1.1927166046582216e-05,1.36746361157576e-06,1.64371888664157e-06,0.008780487804878,0.0,2.79253824206335e-05
HOXD8,0.495488233104459,7.251961454848933e-22,1.76921008775172e-08,3.17525712012431e-07,0.0009756097560975,0.0,3.68294592383307e-08
HOXD9,0.547765535280876,7.2128923034441944e-211,1.85036718404561e-58,3.84307030532549e-58,0.0009756097560975,0.0,1.73646963301729e-15
HPX,0.954347828538589,0.5860303402754775,0.0101053080756168,0.0114233917376538,0.847804878048781,0.6562356236249008,1.0
IGF1,0.434306318510371,3.4035109328859347e-132,1.2356274117100199e-12,1.4326114918377e-12,0.0009756097560975,0.0,1.82365945634694e-15
IGSF6,0.471948240610373,5.3055703548221735e-11,4.86331647330382e-12,5.59614498297974e-12,0.0009756097560975,0.0,3.24206125572789e-15
IL2RG,0.670171434476539,1.4639648873320472e-254,6.5476314755235204e-15,7.7564249786971e-15,0.0019512195121951,0.0,1.82365945634694e-15
IL3RA,0.865405917348089,1.398290090862632e-80,1.0033327126118e-28,1.5049990689177e-28,0.0009756097560975,0.0,3.24206125572789e-15
IL7R,0.105614392046354,1.455236065801561e-112,6.5841019813874795e-18,8.02063332278111e-18,0.0009756097560975,2.1401841844014948e-11,1.82365945634694e-15
ITGAM,0.892690131893474,1.8555253983442405e-13,8.94481646731066e-07,1.04202501114031e-06,0.0019512195121951,0.6562356236249008,3.2033456408990703e-10
ITGAX,0.671601042106252,3.904307924699082e-12,2.40350901129963e-05,2.84451983906104e-05,0.0009756097560975,0.0,5.50015692034237e-13
ITM2C,0.143539222521929,0.0,0.0001428566976396,0.0001694909971995,0.0009756097560975,0.007917419177465,1.73646963301729e-15
JUP,0.50441468099132,0.0864419611090728,1.38606683329394e-06,0.304645639249767,0.546341463414634,6.465100433140477e-06,0.110297792896089
KARS,0.50079293362509,0.0347947485594368,0.0142215796983076,0.299690329730641,0.417560975609756,0.1249310934408958,1.0
KDR,0.24244871248374,0.0,1.61403390100019e-79,3.22806780200037e-79,0.0009756097560975,0.5757766081832442,1.73646963301729e-15
KLF5,0.170323265967754,9.903790884074075e-14,1.5172551287243198e-36,1.49599793537795e-08,0.0009756097560975,0.5891642877653899,1.7461684541735302e-09
KLRB1,0.72976245511032,1.900200134483556e-87,1.18158749195951e-13,1.37557946825137e-13,0.0009756097560975,8.436000415714534e-05,8.81363887843909e-12
KRT15,0.922456592664506,0.0300448382168938,0.483228583408904,0.494089710144038,0.175609756097561,0.0006588692329093,1.0
KRT7,3.86440630189e-05,0.0,2.3989862142415502e-31,2.0245280007144898e-22,0.0009756097560975,0.4931014602277417,1.73646963301729e-15
KRT8,0.0025084254214161,1.2691257146863427e-121,5.3403557248036996e-73,0.0002558229138059,0.0009756097560975,0.0392415041181962,1.73646963301729e-15
LAG3,0.918595536566851,0.5281814196257414,0.199042554563046,0.215338436223179,0.921951219512195,0.2778908085434566,1.0
LARS,0.166527824981293,0.2568069036759171,3.3817300455764896e-11,0.5723991556855,0.496585365853659,0.0043797188104394,1.0
LDHB,0.237191449837306,0.0,3.31278909032668e-99,5.30046254452269e-99,0.0009756097560975,0.0479199681611073,1.73646963301729e-15
LGALSL,0.845554192431336,0.4163802308641246,0.245312158805957,0.266338915275039,0.67609756097561,0.0015320770914135,0.524328177591797
LPL,0.805475093765422,1.3609902703758217e-12,5.9010720442248e-07,7.03106456333168e-07,0.0009756097560975,0.0320889650252021,3.66987205899806e-10
LPXN,0.725780857821279,1.798800946045401e-163,6.77801732170748e-10,7.82078921735479e-10,0.0009756097560975,0.0002713901813342,1.82365945634694e-15
LRRC15,0.915519468165794,1.7062059265852256e-55,4.8028034551621e-06,5.7353866503392e-06,0.0009756097560975,0.0047897323926277,3.24206125572789e-15
LUM,0.0004659540134095,0.0,1.83359914860448e-21,3.12777919247095e-172,0.0009756097560975,7.840263494752654e-05,1.73646963301729e-15
LYPD3,0.109569323217265,1.0020404543582885e-53,1.89349272924519e-83,1.26768613535744e-25,0.0009756097560975,0.1786590404553706,1.82365945634694e-15
LYZ,0.107239294138746,1.316114184850391e-43,2.60375420740341e-05,3.5605657831937e-05,0.0009756097560975,4.092547266552157e-06,1.82365945634694e-15
MAP3K8,0.782905537246247,2.5213259588963458e-05,2.52351788278084e-05,2.98233931601372e-05,0.0019512195121951,4.810844388062394e-05,0.0498649564106384
MDM2,0.0189772372545565,7.635895097735392e-07,1.19823742211853e-06,0.157929025880407,0.0009756097560975,0.0080545919199613,0.0107923617849455
MEDAG,0.928012652861657,1.6728321671656632e-15,0.932974550940318,0.941653383972321,0.0253658536585366,0.0005549810895572,0.0005073677280001
MKI67,0.366573776087725,0.0403175786946266,0.0039667759861164,0.0109489436816654,0.0878048780487805,0.0373371326255029,1.0
MLPH,0.0013263178245744,8.923655335315421e-294,1.05458977845114e-219,2.9949173250265197e-33,0.0009756097560975,0.4469017391670879,1.73646963301729e-15
MMP1,0.902976836810324,1.952474654763816e-05,0.174322314444453,0.189794709217629,0.0058536585365853,0.0005829195185889,8.28451028725854e-09
MMP2,0.0748711260816776,0.0,5.334928063514471e-38,7.89569353400142e-38,0.0009756097560975,0.0209730096519985,1.73646963301729e-15
MMRN2,0.501287754970618,1.154095120379717e-272,3.15153262350994e-77,5.95289495551877e-77,0.0009756097560975,0.0001226727146309,1.73646963301729e-15
MNDA,0.920627660149683,1.2179651193343573e-13,5.27333490437273e-05,6.24473870254666e-05,0.0029268292682926,0.0001900846971774,1.02487004338675e-05
MRC1,0.703110690129842,1.470494574998107e-49,8.5616975454262e-06,1.02740370545114e-05,0.0009756097560975,0.4374875093644265,1.82365945634694e-15
MYLK,0.481475947750731,3.6961672091685817e-37,1.01475971269191e-16,1.20079899335209e-16,0.0009756097560975,0.047611913071296,3.24206125572789e-15
MYO5B,0.0550282363802448,8.315524341083295e-54,1.01823773983214e-89,4.64077243513471e-09,0.0009756097560975,0.2562663184354385,1.82365945634694e-15
MZB1,0.25011692302141,3.03882106264301e-38,0.118562409094221,0.133475919672111,0.0009756097560975,0.0086047190484661,2.19204471401909e-07
NARS,0.0263314156001835,3.6098594602564246e-14,1.31512249264478e-06,0.0005764742153099,0.0009756097560975,0.0003482198044721,2.10869177976313e-06
NOSTRIN,0.392619443326296,2.009526187616636e-83,2.1423751102005303e-25,2.80549121573878e-25,0.0009756097560975,0.0200820692800244,1.73646963301729e-15
NPM3,0.950989822922825,0.894763857870283,0.402602665191493,0.415079719017819,0.370731707317073,0.0051909242411967,1.0
OCIAD2,0.582099134694975,0.0222619131643266,0.0177582797342355,0.189332698626615,0.175609756097561,0.0004450467785835,1.0
OXTR,0.973136528859217,0.7675256434296598,0.380114982856256,0.396552387520311,0.254634146341463,1.0799972550106838e-06,1.0
PCLAF,0.147999512238743,2.767719245345563e-05,4.32713826666278e-08,0.0022621154018326,0.0009756097560975,6.073190273126436e-05,0.0018340802942802
PCOLCE,0.941079680478418,1.0368267484573741e-07,0.0626519849368123,0.0711954374281958,0.0009756097560975,2.643102869477196e-05,0.0004673709053042
PDE4A,0.882642529229668,1.1737755512094801e-07,0.974352437959858,0.975166692574589,0.127804878048781,0.0525806289430841,0.0237693737435317
PDGFRA,0.163702332300288,3.6845234085191345e-262,3.44644617330386e-62,7.51951892357205e-62,0.0009756097560975,0.1467927802210357,1.73646963301729e-15
PDGFRB,0.106216739203562,1.80750237879728e-132,5.6168007604702296e-30,3.99232536644654e-29,0.0009756097560975,3.223086023304091e-05,1.73646963301729e-15
PDK4,0.111024361046071,1.0372479153252296e-45,0.003136946835915,5.46466585925112e-12,0.0009756097560975,0.0017820639707779,1.82365945634694e-15
