,x,y,group,foldchange
Loc186,0.943724818294868,0.379704721504822,B,1
Loc187,0.547646587016061,0.779968342510983,D,1
Loc188,0.711743867723271,0.961577203124762,A,1
Loc189,0.388905099825934,0.443998414091766,C,1
Loc190,0.100873126182705,0.276576519012451,A,1
Loc191,0.927302088588476,0.652874941704795,A,1
Loc192,0.283232500310987,0.754724035272375,B,1
Loc193,0.59057315881364,0.588706381851807,B,1
Loc194,0.110360604943708,0.36689807055518,C,1
Loc195,0.840507032116875,0.509391026105732,B,1
Loc196,0.317963684443384,0.144229113589972,A,1
Loc197,0.782851336989552,0.266654535662383,F,1
Loc198,0.267508207354695,0.173820912605152,A,1
Loc199,0.218645284883678,0.896527295233682,G,1
Loc200,0.516796836396679,0.562343132682145,B,1
Loc201,0.268950592027977,0.342454317957163,E,1
Loc202,0.181168327340856,0.283729680348188,C,1
Loc203,0.518576137488708,0.747538483235985,D,1
Loc204,0.562782935798168,0.562850194750354,B,1
Loc205,0.129156854469329,0.565385995432734,C,1
Loc206,0.256367604015395,0.633331828983501,I,1
Loc207,0.717935275984928,0.962586591951549,A,1
Loc208,0.961409936426207,0.768941204063594,A,1
Loc209,0.100140846567228,0.761524176690727,A,1
Loc210,0.763222689507529,0.15272214752622,F,1
Loc211,0.947966354666278,0.367797967977822,A,1
Loc212,0.818634688388556,0.913615794153884,D,1
Loc213,0.308292330708355,0.496350146830082,I,1
Loc214,0.649579460499808,0.0277347269002348,A,1
Loc215,0.953355451114476,0.450139385415241,B,1
Loc216,0.953732650028542,0.0271877180784941,A,1
Loc217,0.339979203417897,0.0182709295768291,A,1
Loc218,0.262474110117182,0.871962478850037,G,1
Loc219,0.165453933179379,0.955188889289275,A,1
Loc220,0.322168056620285,0.892738419119269,G,1
Loc221,0.510125206550583,0.856308729154989,A,1
Loc222,0.923968471353874,0.123533075442538,E,1
Loc223,0.510959698352963,0.22165473876521,F,1
Loc224,0.257621260825545,0.690272177569568,I,1
Loc225,0.0464608869515359,0.648772125830874,A,1
Loc226,0.41785625834018,0.0914451922290027,A,1
Loc227,0.854001502273604,0.595569584751502,B,1
Loc228,0.347230677725747,0.944378237938508,A,1
Loc229,0.131442320533097,0.12865765299648,A,1
Loc230,0.374486864544451,0.524701888905838,C,1
Loc231,0.631420228397474,0.931875708047301,A,1
Loc232,0.390078933676705,0.441982066258788,C,1
Loc233,0.689627848798409,0.401971613289788,E,1
Loc234,0.689413412474096,0.365522500360385,E,1
Loc235,0.554900623159483,0.572829977376387,B,1
Loc236,0.429624407785013,0.106167400954291,A,1
Loc237,0.452720062807202,0.657213832018897,B,1
Loc238,0.306443258887157,0.800479157827795,G,1
Loc239,0.578353944001719,0.160081139067188,F,1
Loc240,0.910370304249227,0.499149806331843,B,1
Loc241,0.142604082124308,0.138865772867575,A,1
Loc242,0.415047625312582,0.688598210224882,I,1
Loc243,0.210925750667229,0.480641926405951,I,1
Loc244,0.428750370861962,0.20781287481077,E,1
Loc245,0.132689975202084,0.717721335589886,A,1
Loc246,0.460096445865929,0.333421071292832,E,1
Loc247,0.942957059247419,0.529427384026349,A,1
Loc248,0.761973861604929,0.593498748727143,B,1
Loc249,0.932909828843549,0.75988901196979,D,1
Loc250,0.470678497571498,0.039695909479633,A,1
Loc251,0.603588067693636,0.631179952295497,B,1
Loc252,0.484989680582657,0.170349805383012,E,1
Loc253,0.10880631650798,0.707256585825235,A,1
Loc254,0.247726832982153,0.264722274616361,E,1
Loc255,0.498514530714601,0.0803224456030875,A,1
