dataset	optimizer_seed	normalized_radius	centered_l
SimSpace	5	0.0625	0.00038754402314887526
SimSpace	5	0.07291666666666666	-3.891231789454608e-06
SimSpace	5	0.08333333333333333	-0.0006049637586822698
SimSpace	5	0.09375	-0.0013227973515790442
SimSpace	5	0.10416666666666666	-0.0022431208840659883
SimSpace	5	0.11458333333333333	-0.0032454445959670536
SimSpace	5	0.125	-0.00441987669816464
SimSpace	5	0.13541666666666666	-0.0056783874924364874
SimSpace	5	0.14583333333333331	-0.007118579544365733
SimSpace	5	0.15625	-0.008612988464372473
SimSpace	5	0.16666666666666666	-0.010218212487708489
SimSpace	5	0.17708333333333331	-0.011957702353827177
SimSpace	5	0.1875	-0.013694491010707466
SimSpace	5	0.19791666666666666	-0.015638961986635974
SimSpace	5	0.20833333333333331	-0.017616582596408803
SimSpace	5	0.21875	-0.019773230238635586
SimSpace	5	0.22916666666666666	-0.021920786345589
SimSpace	5	0.23958333333333331	-0.024223257351787514
SimSpace	5	0.25	-0.026599106679991102
SimSpace	6	0.0	0.0
SimSpace	6	0.010416666666666666	-0.0009713827745218961
SimSpace	6	0.020833333333333332	0.00045116654656220806
SimSpace	6	0.03125	0.0010962085052597381
SimSpace	6	0.041666666666666664	0.0013963097978735226
SimSpace	6	0.05208333333333333	0.0014936687382221606
SimSpace	6	0.0625	0.0012675677546550995
SimSpace	6	0.07291666666666666	0.0009989264549478127
SimSpace	6	0.08333333333333333	0.00043447897316731265
SimSpace	6	0.09375	-0.0001883001108148874
SimSpace	6	0.10416666666666666	-0.001001621187368712
SimSpace	6	0.11458333333333333	-0.0019223486066898138
SimSpace	6	0.125	-0.003043471260467029
SimSpace	6	0.13541666666666666	-0.004381788970753336
SimSpace	6	0.14583333333333331	-0.005850249768373589
SimSpace	6	0.15625	-0.007463103380486946
SimSpace	6	0.16666666666666666	-0.009116281836275358
SimSpace	6	0.17708333333333331	-0.01088613325676216
SimSpace	6	0.1875	-0.012810383857130486
SimSpace	6	0.19791666666666666	-0.014843769901717513
SimSpace	6	0.20833333333333331	-0.016859636863974153
SimSpace	6	0.21875	-0.01903247925335605
SimSpace	6	0.22916666666666666	-0.02129420257123879
