gene	reference_mean_count	simulated_mean_count	reference_variance	simulated_variance	reference_zero_fraction	simulated_zero_fraction	reference_log1p_mean_count	simulated_log1p_mean_count	reference_log1p_variance	simulated_log1p_variance
KARS	0.6338582677165354	0.5847546119039332	0.8200839739936496	0.8048789178277829	0.5718503937007874	0.6122520013922729	0.49094425321216173	0.46042957635549253	0.5988826395812578	0.590493507998923
KDR	0.24311023622047245	0.284719805081796	1.007338032155139	1.2176529245971766	0.9035433070866141	0.888966237382527	0.21761649421206392	0.25054064405070897	0.69680948221656	0.7964493954380706
KLF5	0.9970472440944882	0.9474416985729203	1.8739449943203188	2.032403794040568	0.49163385826771655	0.5276714235990254	0.6916697116873876	0.666516561766736	1.055685648406288	1.1093556363668085
KLRB1	0.12598425196850394	0.14897319874695442	0.35930479148009015	0.339916250326011	0.9311023622047244	0.9129829446571528	0.118657543801316	0.13886867287390348	0.306973386314296	0.29260711225292063
KRT15	0.10088582677165354	0.0866689871214758	0.14885199680542144	0.12027138656223973	0.9178149606299213	0.9293421510616081	0.0961151527917571	0.08311704209608782	0.1387631801306957	0.11357096538538575
KRT7	12.77263779527559	11.975983292725374	101.38599638671458	102.26578789944223	0.0703740157480315	0.0870170553428472	2.622683855417286	2.563100209820238	4.628749949217731	4.6373061295893825
KRT8	5.457185039370079	5.077271145144448	21.372858246393502	21.91046163153828	0.1294291338582677	0.15036547163243996	1.8651934704073432	1.8045557704143036	3.1078485387478127	3.1315936460458254
LAG3	0.07086614173228346	0.0866689871214758	0.0924644389909164	0.12236052305249041	0.9399606299212598	0.9300382875043508	0.06846779927746073	0.08311704209608782	0.08843609733511044	0.11543407728137642
LARS	1.6146653543307086	1.5544726766446224	2.6968404591043553	2.612717627473926	0.3065944881889764	0.31186912634876435	0.9611361177525707	0.9378458135657732	1.3074785248724907	1.2844602945233767
LDHB	0.4965551181102362	0.5596936999651931	1.2240156995700502	1.306411048208903	0.7357283464566929	0.7037939436129481	0.40316587897899214	0.44448945580685345	0.7993144355226154	0.8356926575703078
LGALSL	0.2170275590551181	0.2109293421510616	0.2517434005202821	0.26050724883581355	0.8169291338582677	0.8273581621997912	0.1964114588230437	0.19138811617265247	0.22453730001132843	0.23151421839154984
LPL	0.12007874015748031	0.10894535328924469	0.3262928544567084	0.3290042146310816	0.9315944881889764	0.9394361294813783	0.11339898654784902	0.10340943149070428	0.2823877229267201	0.2844299510060509
LPXN	0.14616141732283464	0.18203967977723634	0.18098968934274648	0.25689179926062167	0.8779527559055118	0.8597285067873304	0.13641846118596848	0.1672414884519484	0.16635280673066802	0.2286418473515256
LRRC15	0.08021653543307086	0.07448659937347721	0.13290236569394853	0.1302436865369345	0.9414370078740157	0.9432648799164636	0.07716151681089921	0.07184296552286976	0.12478280507055904	0.12243326127733858
LUM	3.436023622047244	3.1903933170901495	45.897431349515585	38.26561798591633	0.40994094488188976	0.39888618169161155	1.489758394552221	1.4327945999557368	3.8479629052853306	3.670349275552247
LYPD3	1.3090551181102361	1.2241559345631743	2.6351124499393266	2.5841377361216282	0.4345472440944882	0.4716324399582318	0.8368384010749935	0.799377488392291	1.2906400458410603	1.2765179252117462
LYZ	0.5664370078740157	0.5969369996519318	3.4264062057789313	3.881355517269128	0.8041338582677166	0.7935955447267664	0.4488036185837203	0.46808741926997177	1.4875880145931286	1.585422951226329
MAP3K8	0.27017716535433073	0.2669683257918552	0.3518821941016605	0.35802064558413904	0.7913385826771654	0.7918552036199095	0.23915639102024136	0.2366269016514968	0.3014978392841458	0.3060282319547694
MDM2	3.8631889763779528	3.7535676992690568	11.749860431035486	11.88980707906772	0.10383858267716535	0.13261399234249913	1.5816943907073229	1.558895430699135	2.5455203249590688	2.556436850125961
