genes,p.value,estimate,adj.p.value,score,av_expr,high_expr
BACE2,0.00034519164840025,1.10667929743782,0.000914965815036807,8.8217952954963,5.05664186145872,1427
JUP,0.000404155035215418,1.09565753623891,0.00103388497380688,8.56115244217863,5.0136958560668,1775
ESR1,0.00201711928677934,1.36456725029679,0.00439372517912331,8.46862018126338,4.7850885856609,272
CD3D,0.00219194318833087,1.38143410674771,0.00472772060228226,8.45847521063499,5.47582019299723,255
ACTA2,0.000471461316531453,1.10387059624444,0.00119220103030942,8.45528835642794,6.0347471520852,3066
PTN,0.000858695080481307,1.17983471784548,0.00198855702848303,8.32974716182426,5.27866273446107,623
ITM2C,0.00054780335124007,1.10052582741058,0.00135412064351478,8.26450235233571,5.27988268030856,1491
LARS,0.000641480582977327,1.09735309407698,0.00156806364727791,8.06744546474693,5.5194114489296,2951
GPR183,0.000953686310078298,1.15801182820631,0.0021629998785281,8.05417579272396,5.52654464288115,730
APOC1,0.000805792842149701,1.12573756796488,0.00190388312591701,8.01939855269113,5.61452831579055,992
RUNX1,0.000736596859459663,1.09775050331115,0.00176142727262093,7.91859012280801,5.78838716236288,3000
TOP2A,0.000716488271128698,1.09116724811654,0.00173216944668476,7.90130427890811,5.65904226645338,1780
LPL,0.00175225048267587,1.23443625262774,0.00385495106188692,7.83478707154822,5.50121243225579,435
BASP1,0.000948942157602642,1.09342329242114,0.0021629998785281,7.6104040284565,5.47922200770744,2923
RHOH,0.000965558443036046,1.08808214063937,0.00216758017824418,7.55434095845021,5.09854386371505,1811
TCIM,0.0012466221936487,1.12346910967778,0.00277027154144155,7.51299478436248,6.44846450062719,3536
HAVCR2,0.00251401712017071,1.17305859501297,0.00536974530521898,7.02178019232219,5.20004497897629,582
BTNL9,0.00556244975814456,1.28012003955224,0.0108295482016974,6.64602054097473,5.45623024372153,309
CLEC14A,0.00336789561963533,1.16398970329158,0.00692464519925021,6.62713716758547,5.8373682874991,591
CD93,0.00324598531990218,1.13725156901414,0.00680111209884266,6.51683398502258,5.945907347987,746
NARS,0.00363854192121057,1.14521513878278,0.00741184465431784,6.43172548119953,6.19293935540383,3823
IGSF6,0.00332765282947497,1.12630100772049,0.00690644926872164,6.42609697351314,5.28449415711157,825
TMEM147,0.00309640932920466,1.08685579390804,0.00655009665793294,6.27932252169,5.55423621027167,3062
FOXA1,0.00450581630293798,1.1382056506447,0.00893044672654375,6.14902650551437,7.27324669626782,3805
LYZ,0.00408378580438006,1.09913265297656,0.00824250345838177,6.04603286780867,5.84013195698449,1101
DST,0.0046037768307297,1.09583275846799,0.00904313306036191,5.89654266905336,5.81627046294458,3361
SVIL,0.00416467251974358,1.07329720008339,0.00832934503948716,5.88286820900562,5.22192616015241,2205
CD86,0.00781919147379324,1.16518719416043,0.0149584532542132,5.6525259634434,5.26459201967896,529
CD83,0.00953892361335721,1.16877925507536,0.0180910620253326,5.43759895283561,5.14016534133005,500
SERPINB9,0.00781695699335333,1.079619203137,0.0149584532542132,5.23772930523329,5.14020098347834,1387
EGFL7,0.0177738272662056,1.28115027202211,0.0315342096658486,5.16307182981051,4.95597197974494,261
HPX,0.0191909714989892,1.29917860757993,0.0335080454744257,5.13606272520368,4.8059435477751,250
AKR1C1,0.0156129890685547,1.2249935080476,0.0281545704514921,5.09554679198891,5.00560185000793,343
C1QA,0.0124324415525209,1.13984192187532,0.0229843457273496,5.00099484494029,5.35829360332815,589
CCND1,0.0232110033153512,1.31042142227666,0.0395846568168779,4.93128463612362,7.42637055817897,4281
FLNB,0.0106265002274195,1.0708986195496,0.0199814534190793,4.86659637321668,5.55761558681338,2893
ANGPT2,0.0250683544725398,1.30355641915815,0.042423369107375,4.80510319910986,5.40670625362332,230
CXCR4,0.0125847050810096,1.06377636958717,0.0230719593151842,4.65431211813965,5.65966635834105,2414
C2orf42,0.0190946655938251,1.17346054786903,0.0335080454744257,4.64496318408021,4.79127121501763,430
DSC2,0.0154239783855441,1.08256535892222,0.0280435970646257,4.5162807441601,4.91984534889955,1118
RAPGEF3,0.0224254309651033,1.14052526034149,0.0385437094712712,4.33121271207937,4.89846192304724,536
CDC42EP1,0.0265631576385591,1.15504012156982,0.0439390577479925,4.1907513062719,4.86543881350803,461
TYROBP,0.0371995511267369,1.2695569999441,0.0588769873948353,4.17869428567515,5.01856569456434,236
MMRN2,0.0305090205502898,1.19265008937436,0.0497184038597315,4.16203023521842,5.3785192070362,353
MEDAG,0.0356928118298585,1.20465716991888,0.056901584076586,4.01488859538978,5.37068125901957,325
CEACAM6,0.0118671458142178,0.899702396135718,0.0221251871112536,3.98926382765998,5.01345717833699,823
SQLE,0.0264538413749797,1.05647092787631,0.0439390577479925,3.83747629474333,5.20165097319909,2380
TUBB2B,0.0320365911607619,1.1001139317671,0.0518238974659384,3.78535623639081,4.79248227906822,736
TRAPPC3,0.0277605662387645,1.05578437886023,0.0455770490487179,3.78407769959056,5.11783827300038,2272
CD8A,0.0335751833879946,1.11084503811273,0.0539163528858307,3.77017259512434,5.60361930951952,636
DUSP5,0.022413972463347,0.929808490607651,0.0385437094712712,3.53147842560681,5.00016317913019,1192
KDR,0.0459210955260425,1.13359333795645,0.0721617215409239,3.49240912286231,5.6116214748878,486
ITGAM,0.056326643635166,1.17873781282789,0.0866563748233323,3.39074258996124,5.00864561054009,325
ENAH,0.0259077795978945,0.907132688083334,0.0435092481796701,3.3139480079133,6.04703021773646,3732
TIFA,0.0549938910053745,1.10171119306659,0.0852018029660732,3.19554986205735,4.85865228779736,629
CD247,0.0732218190602819,1.18394392059807,0.108843244549068,3.09513939791835,5.41890448126076,306
ANKRD29,0.016721033693136,0.744824318203132,0.0299075399389424,3.04714171820137,4.92951524290179,269
FAM49A,0.0751313740687784,1.14644265084336,0.110932230168666,2.96758634116362,5.09586151020063,377
PDE4A,0.0719986404261224,1.09984642259343,0.107753067304401,2.89381476867671,5.03559723855267,592
CCL8,0.106227461052036,1.27236920659248,0.152745368832993,2.85287140385812,5.36311659334834,178
SLC25A37,0.070356339936854,1.07262599696958,0.106318458338149,2.84694502100975,4.87740380230886,876
TRIB1,0.0677541387228981,1.05413664821419,0.103513267493317,2.83759853769718,5.09209087134264,1388
FAM107B,0.0705567950789537,1.04576027483029,0.106318458338149,2.77266321256859,5.29903543194998,2196
ERN1,0.0829457595594059,1.05545040378094,0.121653780687129,2.62761595623178,5.0970382408622,1222
RAB30,0.0954183099749974,1.0912476125166,0.139020054268208,2.56386966826052,4.92604336627712,606
NOSTRIN,0.121389399078655,1.1203671245916,0.172294630950348,2.36257610820804,5.39843987184512,405
HOXD9,0.0506336736928661,0.778262562039292,0.0790028951236209,2.32166496213976,5.60687117872783,256
ANKRD28,0.11028503715826,1.05057539853404,0.157550053083228,2.31618994235571,4.92909295884365,1224
SLAMF1,0.164588175339935,1.19103060767136,0.222143549538563,2.14898704469989,5.23808670052788,217
PPARG,0.131616658702515,1.04654010467621,0.185613236631752,2.12223857717612,5.12740135638605,1286
PCLAF,0.136220086505433,1.03801425818497,0.190881649880224,2.06926421147121,5.39520353650754,2030
VOPP1,0.138350461718235,1.04167687526246,0.191428311811394,2.06040064582537,5.34975087590644,2980
