col,row,B_Cells,CD4+_T_Cells,CD8+_T_Cells,DCIS_2,Endothelial,IRF7+_DCs,Invasive_Tumor,Macrophages_1,Macrophages_2,Myoepi_ACTA2+,Myoepi_KRT15+,Perivascular-Like,Stromal,Stromal_&_T_Cell_Hybrid
35,55,0.0,0.0,0.18518518518518517,0.18518518518518517,0.0,0.0,0.0,0.1111111111111111,0.0,0.07407407407407407,0.0,0.0,0.4444444444444444,0.0
35,65,0.0,0.0,0.05405405405405406,0.2972972972972973,0.02702702702702703,0.0,0.0,0.10810810810810811,0.0,0.02702702702702703,0.0,0.0,0.4864864864864865,0.0
35,75,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.1,0.06666666666666667,0.0,0.03333333333333333,0.1,0.0,0.0,0.0,0.03333333333333333,0.4,0.0
35,85,0.0,0.0,0.20588235294117646,0.11764705882352941,0.0,0.0,0.0,0.08823529411764706,0.0,0.058823529411764705,0.0,0.0,0.5294117647058824,0.0
35,95,0.0,0.034482758620689655,0.10344827586206896,0.20689655172413793,0.0,0.0,0.0,0.13793103448275862,0.0,0.0,0.0,0.0,0.5172413793103449,0.0
35,105,0.0,0.0,0.14285714285714285,0.23809523809523808,0.0,0.047619047619047616,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.47619047619047616,0.0
35,115,0.0,0.058823529411764705,0.11764705882352941,0.14705882352941177,0.0,0.0,0.0,0.23529411764705882,0.0,0.029411764705882353,0.0,0.0,0.4117647058823529,0.0
35,125,0.0,0.0,0.041666666666666664,0.375,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.5,0.041666666666666664
35,135,0.0,0.0,0.03333333333333333,0.23333333333333334,0.0,0.0,0.03333333333333333,0.2,0.0,0.0,0.0,0.0,0.5,0.0
35,145,0.0,0.0,0.07407407407407407,0.2222222222222222,0.0,0.0,0.0,0.2962962962962963,0.0,0.0,0.0,0.0,0.37037037037037035,0.037037037037037035
45,5,0.0,0.11428571428571428,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.6571428571428571,0.02857142857142857
45,15,0.0,0.03333333333333333,0.06666666666666667,0.1,0.0,0.0,0.0,0.23333333333333334,0.0,0.0,0.0,0.0,0.5666666666666667,0.0
45,25,0.0,0.0,0.030303030303030304,0.2727272727272727,0.0,0.0,0.0,0.24242424242424243,0.030303030303030304,0.030303030303030304,0.0,0.0,0.3939393939393939,0.0
45,35,0.10714285714285714,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.42857142857142855,0.0
45,45,0.0,0.0,0.041666666666666664,0.125,0.0,0.0,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.625,0.0
45,55,0.0,0.08571428571428572,0.0,0.2,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.5714285714285714,0.0
45,65,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.05128205128205128,0.0,0.0,0.0,0.05128205128205128,0.0,0.05128205128205128,0.0,0.0,0.7435897435897436,0.0
45,75,0.0,0.027777777777777776,0.08333333333333333,0.3055555555555556,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.4722222222222222,0.05555555555555555
45,85,0.034482758620689655,0.0,0.10344827586206896,0.06896551724137931,0.0,0.0,0.0,0.13793103448275862,0.0,0.0,0.0,0.0,0.6551724137931034,0.0
45,95,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.08333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.041666666666666664
45,105,0.0,0.0,0.07692307692307693,0.3076923076923077,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.5,0.038461538461538464
45,115,0.02702702702702703,0.02702702702702703,0.08108108108108109,0.2972972972972973,0.0,0.0,0.02702702702702703,0.13513513513513514,0.0,0.0,0.0,0.0,0.40540540540540543,0.0
45,125,0.02702702702702703,0.0,0.10810810810810811,0.21621621621621623,0.0,0.0,0.0,0.05405405405405406,0.02702702702702703,0.05405405405405406,0.0,0.0,0.5135135135135135,0.0
45,135,0.037037037037037035,0.0,0.0,0.2962962962962963,0.0,0.0,0.037037037037037035,0.1111111111111111,0.0,0.0,0.0,0.0,0.5185185185185185,0.0
45,145,0.0,0.0,0.16666666666666666,0.041666666666666664,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.7083333333333334,0.0
55,5,0.0,0.0,0.08,0.2,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.6,0.08
55,15,0.027777777777777776,0.05555555555555555,0.16666666666666666,0.1388888888888889,0.0,0.0,0.0,0.16666666666666666,0.0,0.027777777777777776,0.0,0.0,0.4166666666666667,0.0
55,25,0.0,0.037037037037037035,0.07407407407407407,0.1111111111111111,0.0,0.0,0.0,0.14814814814814814,0.037037037037037035,0.0,0.0,0.0,0.5185185185185185,0.07407407407407407
55,35,0.0,0.0,0.06896551724137931,0.1724137931034483,0.0,0.0,0.0,0.06896551724137931,0.0,0.10344827586206896,0.0,0.034482758620689655,0.5517241379310345,0.0
55,45,0.0,0.0,0.10714285714285714,0.21428571428571427,0.0,0.03571428571428571,0.0,0.10714285714285714,0.0,0.03571428571428571,0.0,0.0,0.4642857142857143,0.03571428571428571
55,55,0.0,0.0,0.06666666666666667,0.23333333333333334,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.6333333333333333,0.0
55,65,0.034482758620689655,0.0,0.0,0.2413793103448276,0.0,0.0,0.0,0.13793103448275862,0.0,0.0,0.0,0.034482758620689655,0.5517241379310345,0.0
55,75,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.14814814814814814,0.0,0.0,0.0,0.07407407407407407,0.0,0.037037037037037035,0.0,0.0,0.6296296296296297,0.0
