dataset	topology	difficulty	domain_fold_change	layout_seed	method	method_display	method_seed	status	wall_time_seconds	peak_rss_mb	error_type	error_message	truth_boundary_fraction	domain_cell_type_nmi	adjusted_rand_index	normalized_mutual_information	boundary_precision	boundary_recall	boundary_f1	produced_cluster_count
curved_layers_seed1_moderate	curved_layers	moderate	3.0	1	spclue	spCLUE	100001	success	18.63194829178974	1200.828125			0.12966666666666668	0.02162464714437553	0.9548689096628974	0.923110993159813	1.0	0.9922879177377892	0.9961290322580645	4.0
curved_layers_seed1_moderate	curved_layers	moderate	3.0	1	stlearn	stLearn	100001	success	7.674208292039111	2600.421875			0.12966666666666668	0.02162464714437553	0.3750936468573525	0.43064916982431833	0.26550145651269247	0.9922879177377892	0.4189157466786874	4.0
curved_layers_seed1_moderate	curved_layers	moderate	3.0	1	expression_pca_kmeans	Expression-only control	100001	success	0.5575160412117839	384.421875			0.12966666666666668	0.02162464714437553	0.3930426451970168	0.43188479143756914	0.2627324171382377	0.9820051413881749	0.41455258206321305	4.0
curved_layers_seed1_easy	curved_layers	easy	4.0	1	graphst	GraphST	100001	success	88.60638675000519	1189.375			0.12966666666666668	0.02162464714437553	0.9743499437656555	0.9489642890349238	1.0	0.987146529562982	0.9935316946959897	4.0
curved_layers_seed1_easy	curved_layers	easy	4.0	1	stagate	STAGATE	100001	success	225.7830570829101	1263.078125			0.12966666666666668	0.02162464714437553	0.974553336562869	0.9506289409985755	1.0	0.9948586118251928	0.9974226804123711	4.0
curved_layers_seed1_easy	curved_layers	easy	4.0	1	banksy	BANKSY	100001	success	16.56				0.12966666666666668	0.02162464714437553	0.30996091456287317	0.42966749128798815	0.3938618925831202	0.43444730077120824	0.4131602968607374	4.0
curved_layers_seed1_easy	curved_layers	easy	4.0	1	spagcn	SpaGCN	100001	success	5.054615250090137	869.796875			0.12966666666666668	0.02162464714437553	0.9977210653634283	0.9943058170169513	1.0	1.0	1.0	4.0
curved_layers_seed1_easy	curved_layers	easy	4.0	1	spclue	spCLUE	100001	success	17.600720250047743	1223.46875			0.12966666666666668	0.02162464714437553	0.9548689096628974	0.923110993159813	1.0	0.9922879177377892	0.9961290322580645	4.0
curved_layers_seed1_easy	curved_layers	easy	4.0	1	stlearn	stLearn	100001	success	7.59905183291994	2606.453125			0.12966666666666668	0.02162464714437553	1.0	1.0	1.0	1.0	1.0	4.0
curved_layers_seed1_easy	curved_layers	easy	4.0	1	expression_pca_kmeans	Expression-only control	100001	success	0.5523547080811113	364.875			0.12966666666666668	0.02162464714437553	1.0	1.0	1.0	1.0	1.0	4.0
curved_layers_seed2_hard	curved_layers	hard	2.0	2	graphst	GraphST	100002	success	88.74415133311413	1194.953125			0.138	0.01729094927840733	0.9170502188327485	0.8722772247444449	0.8555133079847909	0.9782608695652174	0.9127789046653144	4.0
curved_layers_seed2_hard	curved_layers	hard	2.0	2	stagate	STAGATE	100002	success	225.68023704201914	1244.484375			0.138	0.01729094927840733	0.970177065744005	0.9463524842670673	1.0	0.9927536231884058	0.9963636363636363	4.0
curved_layers_seed2_hard	curved_layers	hard	2.0	2	banksy	BANKSY	100002	success	16.806				0.138	0.01729094927840733	0.3814140128306925	0.40958285326482385	0.32047477744807124	0.32367149758454106	0.3220652052965394	4.0
curved_layers_seed2_hard	curved_layers	hard	2.0	2	spagcn	SpaGCN	100002	success	5.244351708097383	857.40625			0.138	0.01729094927840733	0.0041024100919229605	0.006830339154655682	0.28169014084507044	1.0	0.43956043956043955	4.0
curved_layers_seed2_hard	curved_layers	hard	2.0	2	spclue	spCLUE	100002	success	17.599845292046666	1235.265625			0.138	0.01729094927840733	0.9466466647677512	0.9156279188534466	1.0	0.9734299516908212	0.9865361077111383	4.0
curved_layers_seed2_hard	curved_layers	hard	2.0	2	stlearn	stLearn	100002	success	7.514972917037085	2596.265625			0.138	0.01729094927840733	0.004726265567976986	0.008941473212417653	0.28074324324324323	1.0	0.4384067528356634	4.0
curved_layers_seed2_hard	curved_layers	hard	2.0	2	expression_pca_kmeans	Expression-only control	100002	success	0.5539565829094499	380.71875			0.138	0.01729094927840733	0.008152639560354067	0.006821571495431875	0.2795847750865052	1.0	0.43699296917252567	4.0
curved_layers_seed2_moderate	curved_layers	moderate	3.0	2	graphst	GraphST	100002	success	89.37002849997953	1203.8125			0.138	0.01729094927840733	0.9759653516413094	0.9561915021359724	1.0	0.9951690821256038	0.9975786924939467	4.0
curved_layers_seed2_moderate	curved_layers	moderate	3.0	2	stagate	STAGATE	100002	success	226.3501982910093	1235.125			0.138	0.01729094927840733	0.9729596002292704	0.9524236094786378	1.0	0.9879227053140096	0.9939246658566221	4.0
curved_layers_seed2_moderate	curved_layers	moderate	3.0	2	banksy	BANKSY	100002	success	15.401				0.138	0.01729094927840733	0.335326716128762	0.4348290175346402	0.45098039215686275	0.391304347826087	0.4190283400809717	4.0
curved_layers_seed2_moderate	curved_layers	moderate	3.0	2	spagcn	SpaGCN	100002	success	5.165105417137966	851.765625			0.138	0.01729094927840733	1.0	1.0	1.0	1.0	1.0	4.0
curved_layers_seed2_moderate	curved_layers	moderate	3.0	2	spclue	spCLUE	100002	success	17.57719675009139	1227.65625			0.138	0.01729094927840733	0.9523193860376268	0.9238502745801024	1.0	0.9782608695652174	0.989010989010989	4.0
curved_layers_seed2_moderate	curved_layers	moderate	3.0	2	stlearn	stLearn	100002	success	7.691160541027784	2587.5625			0.138	0.01729094927840733	0.7167643636633981	0.7276158056310494	0.3429869392390687	0.9951690821256038	0.5101497763400124	4.0
curved_layers_seed2_moderate	curved_layers	moderate	3.0	2	expression_pca_kmeans	Expression-only control	100002	success	0.5630073749925941	384.171875			0.138	0.01729094927840733	0.3799924293579944	0.42165537624625704	0.2867368421052632	0.9927536231884058	0.4449568740416785	4.0
curved_layers_seed2_easy	curved_layers	easy	4.0	2	graphst	GraphST	100002	success	88.94516887515783	1191.984375			0.138	0.01729094927840733	0.9812159528488932	0.9645308514571002	1.0	1.0	1.0	4.0
curved_layers_seed2_easy	curved_layers	easy	4.0	2	stagate	STAGATE	100002	success	227.42375341709703	1257.140625			0.138	0.01729094927840733	0.9704281264115076	0.9488885485044644	1.0	0.9879227053140096	0.9939246658566221	4.0
curved_layers_seed2_easy	curved_layers	easy	4.0	2	banksy	BANKSY	100002	success	16.521				0.138	0.01729094927840733	0.3356051141032342	0.4354076151327952	0.5789473684210527	0.45652173913043476	0.5104972375690607	4.0
curved_layers_seed2_easy	curved_layers	easy	4.0	2	spagcn	SpaGCN	100002	success	4.887758958153427	876.21875			0.138	0.01729094927840733	0.998341272487114	0.9962132721360178	1.0	1.0	1.0	4.0
curved_layers_seed2_easy	curved_layers	easy	4.0	2	spclue	spCLUE	100002	success	17.479804249946028	1229.3125			0.138	0.01729094927840733	0.9523193860376268	0.9238502745801024	1.0	0.9782608695652174	0.989010989010989	4.0
curved_layers_seed2_easy	curved_layers	easy	4.0	2	stlearn	stLearn	100002	success	7.606915584066883	2601.625			0.138	0.01729094927840733	1.0	1.0	1.0	1.0	1.0	4.0
curved_layers_seed2_easy	curved_layers	easy	4.0	2	expression_pca_kmeans	Expression-only control	100002	success	0.5582368329633027	358.96875			0.138	0.01729094927840733	1.0	1.0	1.0	1.0	1.0	4.0
irregular_mrf_seed0_hard	irregular_mrf	hard	2.0	0	graphst	GraphST	100100	success	90.70975158410147	1196.28125			0.29233333333333333	0.009254599872580253	0.8398946058773041	0.7864465177313422	0.9588859416445623	0.8859749144811858	0.9209896641525859	4.0
