Gene,C,Z,Pval,FDR
SERPINB9,0.030348167955917594,7.020867,1.102479385304111e-12,1.79663307234744e-12
SMAP2,0.03258359228095557,6.8425684,3.889287226457778e-12,6.2914940427993465e-12
TRAF4,0.037541448089719424,6.4700484,4.8985756654335824e-11,7.866325886097724e-11
MAP3K8,0.028865420040167997,6.304172,1.448692632133761e-10,2.3095099932567205e-10
SMS,0.034035431398989076,6.2655015,1.858137131262876e-10,2.940936466746998e-10
SNAI1,0.026798613519584655,6.212331,2.610218727412217e-10,4.101772285933484e-10
PCOLCE,0.0287588054295993,6.07968,6.021132792751074e-10,9.394675279469762e-10
TOP2A,0.03587186854661163,6.027396,8.3311095638969e-10,1.2907352845474071e-09
HDC,0.026180079314876807,5.9903564,1.04690811537754e-09,1.6106278698116e-09
PTN,0.028698959428329,5.9693055,1.1913279329934564e-09,1.8200843420733361e-09
USP53,0.03215163141681148,5.937854,1.443886772658726e-09,2.190724758516688e-09
ANGPT2,0.02644672118679965,5.9316154,1.4998435161664683e-09,2.260038175045363e-09
CCPG1,0.02920837527303888,5.911266,1.6974429721133142e-09,2.5403908426185653e-09
DST,0.03212459920943492,5.771184,3.9358238905505804e-09,5.850549026494106e-09
FAM49A,0.02523443505769276,5.6499205,8.026104560331216e-09,1.185062418303938e-08
MKI67,0.031625710924755954,5.6142035,9.873488226185255e-09,1.4481116065071708e-08
RHOH,0.030348836627056282,5.5507774,1.4220098791652753e-08,2.0718024729560302e-08
TFAP2A,0.032518589441458044,5.5451174,1.4687851995828963e-08,2.125873315185771e-08
TYROBP,0.028382316022490466,5.515921,1.7347893519007136e-08,2.4944683491382812e-08
CENPF,0.03312155924472334,5.4040174,3.258230066109361e-08,4.65461438015623e-08
RAPGEF3,0.024669272838776554,4.8873134,5.111066053489117e-07,7.254416333984553e-07
ZNF562,0.027634054000897766,4.8600326,5.868322464614934e-07,8.275839373174907e-07
CEACAM6,0.029349115913185588,4.807007,7.660337705850746e-07,1.073423118017302e-06
SLC5A6,0.02871077892741137,4.799946,7.935427583008651e-07,1.1049329545961415e-06
ENAH,0.025627921770885204,4.646042,1.6918217810005247e-06,2.3271687196481467e-06
FAM107B,0.0211404078695776,4.645961,1.6924863415622886e-06,2.3271687196481467e-06
SEC11C,0.02089541248088535,4.5541773,2.629549555315014e-06,3.593173305399398e-06
SERPINA3,0.01933783169090586,4.49843,3.4228600612683245e-06,4.648328478265626e-06
OCIAD2,0.02333807269061319,4.4927583,3.515328630199465e-06,4.744615329103572e-06
DSC2,0.023593602284898083,4.4770174,3.7846540784160673e-06,5.076974983241066e-06
ADAM9,0.023487107160677183,4.3041186,8.382590717927797e-06,1.1176787623903729e-05
SDC4,0.022652044404770293,4.0046372,3.105636131692591e-05,4.1159033070624706e-05
TMEM147,0.021249122821632414,3.9903104,3.299343608830287e-05,4.346440682291397e-05
DUSP5,0.018227401925356466,3.9109473,4.596741170455498e-05,6.019542008929818e-05
CD8B,0.011148101703227437,3.865397,5.545432900505013e-05,7.218906734385224e-05
HMGA1,0.020548878745320614,3.7784712,7.889703850342334e-05,0.00010210204982795961
PELI1,0.018014642612988952,3.6507676,0.00013072888787082752,0.00016818921246539213
TRAPPC3,0.020045984739343194,3.6376915,0.00013754632357779463,0.00017593134411113265
ANKRD29,0.01586421292090435,3.5576782,0.00018707362136806435,0.00023789709075707605
SVIL,0.01796518978208538,3.5304105,0.00020745766108102082,0.00026230278987255507
LARS,0.01853725131819717,3.4211595,0.00031177374948442146,0.000391944142208987
BACE2,0.01761867598767489,3.3979023,0.00033952339128871757,0.00042440423911089696
MNDA,0.011498919426805058,3.294795,0.0004924674538405236,0.0006121064398017807
HOOK2,0.01795509882889305,3.2928603,0.0004958687438186396,0.0006128714811241613
TUBA4A,0.01797759043280938,3.2752337,0.0005278729024061465,0.0006487823381528059
AKR1C1,0.014692320020353346,3.2466893,0.0005837788289376493,0.0007135074575904601
SLAMF1,0.007531274299771024,3.2314088,0.0006159080572904319,0.000748617528198315
STC1,0.018279226145315235,3.1948392,0.0006995437477193124,0.0008456023324079601
CLDN4,0.017889777649414584,3.0510628,0.0011401642872203804,0.0013706893070408945
CXCL16,0.013443417378604033,2.729324,0.003173214805524838,0.0037940611805188282
LGALSL,0.014132801481709197,2.650088,0.004023539532166915,0.004784749713928223
FSTL3,0.013715787782166339,2.6230683,0.0043570896541708,0.0051535469027826665
PDE4A,0.012902168452600263,2.526735,0.005756415713789753,0.0067722537809291215
EIF4EBP1,0.013620435103097404,2.380098,0.008654014723713771,0.010127038506473562
VOPP1,0.012326433721714094,2.1718955,0.014931772841789906,0.01738089960419989
DUSP2,0.010000828477004925,2.162955,0.015272318685008307,0.01768373742474646
PTRHD1,0.011750038931768469,2.1228104,0.01688487301962424,0.019448544839357765
TIFA,0.010384458837104416,2.0329142,0.02103059801048252,0.024097560220344552
RTKN2,0.013432356066966312,2.022215,0.021577078358933445,0.024595633362514805
TUBB2B,0.009814317309341724,1.915891,0.027689482387191083,0.031400443944237307
DMKN,0.011178945085701199,1.7423811,0.04072089077575242,0.04594151779828479
SQLE,0.009505427857815874,1.7092738,0.043700120644764584,0.04905115582575617
KARS,0.009630392952515348,1.6410809,0.050390316021001066,0.05627344936355449
ACTG2,0.007493741696276049,1.4508365,0.07341269119117397,0.08156965687908219
APOBEC3B,0.005304661142027332,1.4260858,0.0769217842730704,0.08503915849284166
JUP,0.007013762645401663,1.331937,0.0914404530233246,0.10058449832565707
C6orf132,0.007577789301018608,1.3038352,0.0961448969649702,0.10523322055867383
SEC24A,0.006389759955307256,1.2437732,0.1067915192237438,0.11630759519417641
C2orf42,0.006569201586476587,1.156834,0.12367009264333234,0.13402670138686262
OXTR,0.006768228315692502,1.153547,0.12434295901729808,0.13409534795983127
SLC25A37,0.005977099595058966,1.0879256,0.13831398712192394,0.14843452276499156
RORC,0.006588557899878602,1.0749586,0.14119664033783247,0.15079252851613176
QARS,0.005417662066355847,1.0022317,0.15811584630001396,0.1680458269855221
LAG3,0.004858597117076016,0.9217021,0.17834199585736193,0.18863095715682512
SRPK1,0.004465463953367289,0.7989593,0.21215700176594826,0.22332315975362976
WARS,0.002790508280642601,0.5282873,0.29864997540945065,0.31287140280990067
ANKRD28,0.002130685133689479,0.37802753,0.35270507197473766,0.3677493641442762
CDC42EP1,0.00161438355309502,0.30170396,0.3814388747308857,0.3958327945320512
POLR2J3,0.001078553664476996,0.19943245,0.4209622403835319,0.43479668020834283
DNTTIP1,0.0006781695170137551,0.12705584,0.44944810185901485,0.4620494505092676
KRT15,0.00035010030065768825,0.056381896,0.47751878940011666,0.48862387752570074
HPX,-0.001658425859103099,-0.26769105,0.6055314286895126,0.6167449736652443
ESR1,-0.003102643700121106,-0.6084281,0.7285482172214353,0.7381831155832739
DAPK3,-0.00370765447779467,-0.6172721,0.7314723599870623,0.7381831155832739
NPM3,-0.005678237137895673,-1.0078917,0.8432467608641706,0.8470972026946005
THAP2,-0.006226269256739355,-1.1339631,0.8715949883509478,0.8715949883509478
