seed	basis	basis_label	GeneID	Gene	is_direct	direction	configured_strength	coefficient_row	coefficient_col	latent_strength	observed_strength	n_cells
0	radial	Radial	6	Gene_6	True	Not applicable	-1.0			-0.9999999999999998	-1.0131294744519543	1604
0	radial	Radial	7	Gene_7	True	Not applicable	-1.0			-0.9999999999999998	-0.9798654355223659	1604
0	radial	Radial	8	Gene_8	True	Not applicable	-1.0			-1.0000000000000002	-1.001575120250989	1604
0	radial	Radial	9	Gene_9	True	Not applicable	-1.0			-0.9999999999999998	-0.9556272529192049	1604
0	radial	Radial	10	Gene_10	True	Not applicable	-1.0			-0.9999999999999998	-1.0441114052037113	1604
0	radial	Radial	11	Gene_11	True	Not applicable	-1.0			-0.9999999999999998	-0.9920906971513153	1604
0	radial	Radial	12	Gene_12	True	Not applicable	-0.75			-0.7499999999999999	-0.7764657776596398	1604
0	radial	Radial	13	Gene_13	True	Not applicable	-0.75			-0.7499999999999999	-0.7555461647042397	1604
0	radial	Radial	14	Gene_14	True	Not applicable	-0.75			-0.7499999999999999	-0.775356820921173	1604
0	radial	Radial	15	Gene_15	True	Not applicable	-0.75			-0.75	-0.6925107540638585	1604
0	radial	Radial	16	Gene_16	True	Not applicable	-0.75			-0.7499999999999999	-0.7634407457615503	1604
0	radial	Radial	17	Gene_17	True	Not applicable	-0.75			-0.7499999999999999	-0.7414996263506464	1604
0	radial	Radial	18	Gene_18	True	Not applicable	-0.75			-0.7499999999999999	-0.7361649022056924	1604
0	radial	Radial	19	Gene_19	True	Not applicable	-0.75			-0.7499999999999999	-0.7772469287574668	1604
0	radial	Radial	20	Gene_20	True	Not applicable	-0.75			-0.7499999999999999	-0.7281784367837634	1604
0	radial	Radial	21	Gene_21	True	Not applicable	-0.75			-0.7499999999999999	-0.7401537026595483	1604
0	radial	Radial	22	Gene_22	True	Not applicable	-0.75			-0.75	-0.7827641763020765	1604
0	radial	Radial	23	Gene_23	True	Not applicable	-0.75			-0.7499999999999999	-0.7665568119810213	1604
0	radial	Radial	24	Gene_24	True	Not applicable	-0.5			-0.5	-0.479577107682173	1604
0	radial	Radial	25	Gene_25	True	Not applicable	-0.5			-0.4999999999999999	-0.5138658880703887	1604
0	radial	Radial	26	Gene_26	True	Not applicable	-0.5			-0.4999999999999999	-0.4602769085384071	1604
0	radial	Radial	27	Gene_27	True	Not applicable	-0.5			-0.5000000000000001	-0.538953925186215	1604
0	radial	Radial	28	Gene_28	True	Not applicable	-0.5			-0.4999999999999999	-0.5216755565745043	1604
0	radial	Radial	29	Gene_29	True	Not applicable	-0.5			-0.5	-0.5260761019782872	1604
0	radial	Radial	30	Gene_30	True	Not applicable	-0.5			-0.5	-0.48549858263678836	1604
0	radial	Radial	31	Gene_31	True	Not applicable	-0.5			-0.5000000000000001	-0.5522448130704335	1604
0	radial	Radial	32	Gene_32	True	Not applicable	-0.5			-0.5	-0.47342329004852834	1604
0	radial	Radial	33	Gene_33	True	Not applicable	-0.5			-0.4999999999999999	-0.5926089640171508	1604
0	radial	Radial	34	Gene_34	True	Not applicable	-0.5			-0.4999999999999999	-0.5124553967121136	1604
0	radial	Radial	35	Gene_35	True	Not applicable	-0.5			-0.5	-0.422515278428342	1604
0	radial	Radial	36	Gene_36	True	Not applicable	-0.25			-0.25	-0.32421598678151087	1604
0	radial	Radial	37	Gene_37	True	Not applicable	-0.25			-0.24999999999999994	-0.2462869945160596	1604
0	radial	Radial	38	Gene_38	True	Not applicable	-0.25			-0.25	-0.2563551792140103	1604
0	radial	Radial	39	Gene_39	True	Not applicable	-0.25			-0.25	-0.26167560966826575	1604
0	radial	Radial	40	Gene_40	True	Not applicable	-0.25			-0.25	-0.2076435689546586	1604
0	radial	Radial	41	Gene_41	True	Not applicable	-0.25			-0.25	-0.3116876259022515	1604
0	radial	Radial	42	Gene_42	True	Not applicable	-0.25			-0.25	-0.1739286239101911	1604
0	radial	Radial	43	Gene_43	True	Not applicable	-0.25			-0.25	-0.357877512502576	1604
0	radial	Radial	44	Gene_44	True	Not applicable	-0.25			-0.25	-0.3430090417256475	1604
0	radial	Radial	45	Gene_45	True	Not applicable	-0.25			-0.24999999999999994	-0.25588495409863715	1604
0	radial	Radial	46	Gene_46	True	Not applicable	-0.25			-0.25	-0.2907490031721661	1604
0	radial	Radial	47	Gene_47	True	Not applicable	-0.25			-0.24999999999999994	-0.19387168168811736	1604
0	radial	Radial	48	Gene_48	True	Not applicable	0.25			0.24999999999999992	0.34304555526862374	1604
0	radial	Radial	49	Gene_49	True	Not applicable	0.25			0.24999999999999994	0.20226748453720145	1604
0	radial	Radial	50	Gene_50	True	Not applicable	0.25			0.24999999999999992	0.3152184846438828	1604
0	radial	Radial	51	Gene_51	True	Not applicable	0.25			0.24999999999999994	0.22811990805082555	1604
0	radial	Radial	52	Gene_52	True	Not applicable	0.25			0.25	0.2644650976093453	1604
0	radial	Radial	53	Gene_53	True	Not applicable	0.25			0.24999999999999992	0.23399830642970668	1604
0	radial	Radial	54	Gene_54	True	Not applicable	0.25			0.24999999999999992	0.21829670666274834	1604
0	radial	Radial	55	Gene_55	True	Not applicable	0.25			0.24999999999999994	0.27785192527621255	1604
0	radial	Radial	56	Gene_56	True	Not applicable	0.25			0.24999999999999994	0.28180407599198126	1604
0	radial	Radial	57	Gene_57	True	Not applicable	0.25			0.24999999999999992	0.261278392201666	1604
0	radial	Radial	58	Gene_58	True	Not applicable	0.25			0.24999999999999994	0.2326966361993206	1604
0	radial	Radial	59	Gene_59	True	Not applicable	0.25			0.24999999999999994	0.19044370584672127	1604
0	radial	Radial	60	Gene_60	True	Not applicable	0.5			0.5	0.4789548738846579	1604
0	radial	Radial	61	Gene_61	True	Not applicable	0.5			0.5	0.581653350805474	1604
0	radial	Radial	62	Gene_62	True	Not applicable	0.5			0.5	0.4615627974213252	1604
0	radial	Radial	63	Gene_63	True	Not applicable	0.5			0.5	0.5124342881062883	1604
0	radial	Radial	64	Gene_64	True	Not applicable	0.5			0.5	0.53116337599324	1604
0	radial	Radial	65	Gene_65	True	Not applicable	0.5			0.5	0.4370669279573253	1604
0	radial	Radial	66	Gene_66	True	Not applicable	0.5			0.5	0.49143357247034836	1604
0	radial	Radial	67	Gene_67	True	Not applicable	0.5			0.5	0.4983632019590173	1604
0	radial	Radial	68	Gene_68	True	Not applicable	0.5			0.5	0.5552242854544794	1604
0	radial	Radial	69	Gene_69	True	Not applicable	0.5			0.5	0.5629219829416808	1604
0	radial	Radial	70	Gene_70	True	Not applicable	0.5			0.5	0.4855328677272007	1604
0	radial	Radial	71	Gene_71	True	Not applicable	0.5			0.5	0.6351525620686331	1604
0	radial	Radial	72	Gene_72	True	Not applicable	0.75			0.75	0.7689620307249762	1604
0	radial	Radial	73	Gene_73	True	Not applicable	0.75			0.7499999999999999	0.757866520944583	1604
0	radial	Radial	74	Gene_74	True	Not applicable	0.75			0.75	0.8089804635012915	1604
0	radial	Radial	75	Gene_75	True	Not applicable	0.75			0.7499999999999999	0.7239461385351121	1604
0	radial	Radial	76	Gene_76	True	Not applicable	0.75			0.7499999999999999	0.7909959031559014	1604
0	radial	Radial	77	Gene_77	True	Not applicable	0.75			0.75	0.6380157798817966	1604
0	radial	Radial	78	Gene_78	True	Not applicable	0.75			0.75	0.7759381414553248	1604
0	radial	Radial	79	Gene_79	True	Not applicable	0.75			0.75	0.7206476589968887	1604
0	radial	Radial	80	Gene_80	True	Not applicable	0.75			0.75	0.7552486142739187	1604
0	radial	Radial	81	Gene_81	True	Not applicable	0.75			0.7499999999999999	0.7610433021692851	1604
0	radial	Radial	82	Gene_82	True	Not applicable	0.75			0.7499999999999999	0.7887379216707648	1604
0	radial	Radial	83	Gene_83	True	Not applicable	0.75			0.75	0.7874415838680168	1604
0	radial	Radial	84	Gene_84	True	Not applicable	1.0			0.9999999999999997	1.0118825851612046	1604
0	radial	Radial	85	Gene_85	True	Not applicable	1.0			0.9999999999999997	0.8863909910965291	1604
0	radial	Radial	86	Gene_86	True	Not applicable	1.0			0.9999999999999998	0.9560786191679794	1604
0	radial	Radial	87	Gene_87	True	Not applicable	1.0			0.9999999999999998	0.9839001468641847	1604
0	radial	Radial	88	Gene_88	True	Not applicable	1.0			1.0	1.0529978644266649	1604
0	radial	Radial	89	Gene_89	True	Not applicable	1.0			0.9999999999999997	1.0966107329071888	1604
0	radial	Radial	90	Gene_90	True	Not applicable	1.0			0.9999999999999998	1.0175065619063477	1604
0	radial	Radial	91	Gene_91	True	Not applicable	1.0			1.0	0.8983532178529093	1604
0	radial	Radial	92	Gene_92	True	Not applicable	1.0			0.9999999999999998	0.9855412422097953	1604
0	radial	Radial	93	Gene_93	True	Not applicable	1.0			0.9999999999999998	0.9342975439696944	1604
0	radial	Radial	94	Gene_94	True	Not applicable	1.0			0.9999999999999998	1.011715184423317	1604
0	radial	Radial	95	Gene_95	True	Not applicable	1.0			1.0	0.9632801025888812	1604
0	radial	Radial	96	Gene_96	False	Not applicable	0.0			-0.0	-0.04623549380455628	1604
0	radial	Radial	97	Gene_97	False	Not applicable	0.0			-0.0	-0.0705284651200492	1604
0	radial	Radial	98	Gene_98	False	Not applicable	0.0			-0.0	0.07873754034755669	1604
0	radial	Radial	99	Gene_99	False	Not applicable	0.0			-0.0	0.00395453667250119	1604
0	radial	Radial	100	Gene_100	False	Not applicable	0.0			-0.0	-0.025633235935648868	1604
0	radial	Radial	101	Gene_101	False	Not applicable	0.0			-0.0	0.10946092932274278	1604
0	radial	Radial	102	Gene_102	False	Not applicable	0.0			-0.0	0.10183630253781699	1604
0	radial	Radial	103	Gene_103	False	Not applicable	0.0			-0.0	-0.027907516384946148	1604
0	radial	Radial	104	Gene_104	False	Not applicable	0.0			-0.0	0.002208545837946975	1604
