dataset	seed	cell_type_a	cell_type_b	centered_colocalization
SimSpace	6	Stromal	Endothelial	-0.002819769797421733
SimSpace	6	Stromal	Macrophages_1	0.006050220994475143
SimSpace	6	Stromal	CD8+_T_Cells	0.008151749539594843
SimSpace	6	Stromal	T_Cell_&_Tumor_Hybrid	0.003140313075506435
SimSpace	6	Prolif_Invasive_Tumor	Invasive_Tumor	0.01381055248618785
SimSpace	6	Prolif_Invasive_Tumor	Stromal	-0.010085764272559857
SimSpace	6	Prolif_Invasive_Tumor	Prolif_Invasive_Tumor	0.00794963167587476
SimSpace	6	Prolif_Invasive_Tumor	Endothelial	-0.0014172836095764274
SimSpace	6	Prolif_Invasive_Tumor	Macrophages_1	-0.001882237569060773
SimSpace	6	Prolif_Invasive_Tumor	CD8+_T_Cells	-0.0020974769797421754
SimSpace	6	Prolif_Invasive_Tumor	T_Cell_&_Tumor_Hybrid	-0.0019849171270718284
SimSpace	6	Endothelial	Invasive_Tumor	-0.0031230386740331486
SimSpace	6	Endothelial	Stromal	-0.002819769797421733
SimSpace	6	Endothelial	Prolif_Invasive_Tumor	-0.0014172836095764274
SimSpace	6	Endothelial	Endothelial	0.004067854511970535
SimSpace	6	Endothelial	Macrophages_1	0.00023177716390423595
SimSpace	6	Endothelial	CD8+_T_Cells	0.00012532228360957656
SimSpace	6	Endothelial	T_Cell_&_Tumor_Hybrid	-0.0008052394106813992
SimSpace	6	Macrophages_1	Invasive_Tumor	-0.011364355432780842
SimSpace	6	Macrophages_1	Stromal	0.006050220994475143
SimSpace	6	Macrophages_1	Prolif_Invasive_Tumor	-0.001882237569060773
SimSpace	6	Macrophages_1	Endothelial	0.00023177716390423595
SimSpace	6	Macrophages_1	Macrophages_1	0.0010000920810313086
SimSpace	6	Macrophages_1	CD8+_T_Cells	0.0014013904235727435
SimSpace	6	Macrophages_1	T_Cell_&_Tumor_Hybrid	0.000456372007366482
SimSpace	6	CD8+_T_Cells	Invasive_Tumor	-0.014137467771639043
SimSpace	6	CD8+_T_Cells	Stromal	0.008151749539594843
SimSpace	6	CD8+_T_Cells	Prolif_Invasive_Tumor	-0.0020974769797421754
SimSpace	6	CD8+_T_Cells	Endothelial	0.00012532228360957656
SimSpace	6	CD8+_T_Cells	Macrophages_1	0.0014013904235727435
SimSpace	6	CD8+_T_Cells	CD8+_T_Cells	0.0023333149171270717
SimSpace	6	CD8+_T_Cells	T_Cell_&_Tumor_Hybrid	0.0009379834254143659
SimSpace	6	T_Cell_&_Tumor_Hybrid	Invasive_Tumor	-0.004787173112338863
SimSpace	6	T_Cell_&_Tumor_Hybrid	Stromal	0.003140313075506435
SimSpace	6	T_Cell_&_Tumor_Hybrid	Prolif_Invasive_Tumor	-0.0019849171270718284
SimSpace	6	T_Cell_&_Tumor_Hybrid	Endothelial	-0.0008052394106813992
SimSpace	6	T_Cell_&_Tumor_Hybrid	Macrophages_1	0.000456372007366482
SimSpace	6	T_Cell_&_Tumor_Hybrid	CD8+_T_Cells	0.0009379834254143659
SimSpace	6	T_Cell_&_Tumor_Hybrid	T_Cell_&_Tumor_Hybrid	0.0013061602209944768
SimSpace	7	Invasive_Tumor	Invasive_Tumor	0.11503853412123538
SimSpace	7	Invasive_Tumor	Stromal	-0.059764620663362605
SimSpace	7	Invasive_Tumor	Prolif_Invasive_Tumor	0.017112600076248555
SimSpace	7	Invasive_Tumor	Endothelial	-0.0010047369424323344
SimSpace	7	Invasive_Tumor	Macrophages_1	-0.009599876096073198
SimSpace	7	Invasive_Tumor	CD8+_T_Cells	-0.012364306138009921
SimSpace	7	Invasive_Tumor	T_Cell_&_Tumor_Hybrid	-0.009392460922607707
SimSpace	7	Stromal	Invasive_Tumor	-0.059764620663362605
SimSpace	7	Stromal	Stromal	0.03612599123141439
SimSpace	7	Stromal	Prolif_Invasive_Tumor	-0.011349647350362185
SimSpace	7	Stromal	Endothelial	-0.002222741136103696
SimSpace	7	Stromal	Macrophages_1	0.0061847598170034265
SimSpace	7	Stromal	CD8+_T_Cells	0.006080280213496001
SimSpace	7	Stromal	T_Cell_&_Tumor_Hybrid	0.005441059855127705
SimSpace	7	Prolif_Invasive_Tumor	Invasive_Tumor	0.017112600076248555
SimSpace	7	Prolif_Invasive_Tumor	Stromal	-0.011349647350362185
SimSpace	7	Prolif_Invasive_Tumor	Prolif_Invasive_Tumor	0.007622169271826143
SimSpace	7	Prolif_Invasive_Tumor	Endothelial	-0.001731605032405642
SimSpace	7	Prolif_Invasive_Tumor	Macrophages_1	-0.0021914887533358764
SimSpace	7	Prolif_Invasive_Tumor	CD8+_T_Cells	-0.001354479603507439
SimSpace	7	Prolif_Invasive_Tumor	T_Cell_&_Tumor_Hybrid	-0.0028576057948913455
SimSpace	7	Endothelial	Invasive_Tumor	-0.0010047369424323344
SimSpace	7	Endothelial	Stromal	-0.002222741136103696
SimSpace	7	Endothelial	Prolif_Invasive_Tumor	-0.001731605032405642
SimSpace	7	Endothelial	Endothelial	0.004086113229126952
SimSpace	7	Endothelial	Macrophages_1	-0.00016177087304613093
SimSpace	7	Endothelial	CD8+_T_Cells	-0.0007943861990087688
SimSpace	7	Endothelial	T_Cell_&_Tumor_Hybrid	-0.00018744757910789194
SimSpace	7	Macrophages_1	Invasive_Tumor	-0.009599876096073198
SimSpace	7	Macrophages_1	Stromal	0.0061847598170034265
SimSpace	7	Macrophages_1	Prolif_Invasive_Tumor	-0.0021914887533358764
SimSpace	7	Macrophages_1	Endothelial	-0.00016177087304613093
SimSpace	7	Macrophages_1	Macrophages_1	0.0008124475791078927
SimSpace	7	Macrophages_1	CD8+_T_Cells	0.0007903831490659549
SimSpace	7	Macrophages_1	T_Cell_&_Tumor_Hybrid	0.0009551658406404882
SimSpace	7	CD8+_T_Cells	Invasive_Tumor	-0.012364306138009921
SimSpace	7	CD8+_T_Cells	Stromal	0.006080280213496001
SimSpace	7	CD8+_T_Cells	Prolif_Invasive_Tumor	-0.001354479603507439
SimSpace	7	CD8+_T_Cells	Endothelial	-0.0007943861990087688
SimSpace	7	CD8+_T_Cells	Macrophages_1	0.0007903831490659549
SimSpace	7	CD8+_T_Cells	CD8+_T_Cells	0.0011374285169653076
SimSpace	7	CD8+_T_Cells	T_Cell_&_Tumor_Hybrid	0.0008252668699961882
SimSpace	7	T_Cell_&_Tumor_Hybrid	Invasive_Tumor	-0.009392460922607707
SimSpace	7	T_Cell_&_Tumor_Hybrid	Stromal	0.005441059855127705
SimSpace	7	T_Cell_&_Tumor_Hybrid	Prolif_Invasive_Tumor	-0.0028576057948913455
SimSpace	7	T_Cell_&_Tumor_Hybrid	Endothelial	-0.00018744757910789194
SimSpace	7	T_Cell_&_Tumor_Hybrid	Macrophages_1	0.0009551658406404882
SimSpace	7	T_Cell_&_Tumor_Hybrid	CD8+_T_Cells	0.0008252668699961882
SimSpace	7	T_Cell_&_Tumor_Hybrid	T_Cell_&_Tumor_Hybrid	0.0032959397636294326
SimSpace	8	Invasive_Tumor	Invasive_Tumor	0.1086195537340619
SimSpace	8	Invasive_Tumor	Stromal	-0.0553559836065574
SimSpace	8	Invasive_Tumor	Prolif_Invasive_Tumor	0.012442768670309648
SimSpace	8	Invasive_Tumor	Endothelial	-0.004799034608378893
SimSpace	8	Invasive_Tumor	Macrophages_1	-0.005677604735883435
SimSpace	8	Invasive_Tumor	CD8+_T_Cells	-0.015169134790528236
SimSpace	8	Invasive_Tumor	T_Cell_&_Tumor_Hybrid	-0.005062249544626571
SimSpace	8	Stromal	Invasive_Tumor	-0.0553559836065574
SimSpace	8	Stromal	Stromal	0.03324104735883422
SimSpace	8	Stromal	Prolif_Invasive_Tumor	-0.008541703096539165
SimSpace	8	Stromal	Endothelial	-0.0037790983606557403
SimSpace	8	Stromal	Macrophages_1	0.002297522768670312
SimSpace	8	Stromal	CD8+_T_Cells	0.009392313296903465
SimSpace	8	Stromal	T_Cell_&_Tumor_Hybrid	0.00355986338797814
SimSpace	8	Prolif_Invasive_Tumor	Invasive_Tumor	0.012442768670309648
SimSpace	8	Prolif_Invasive_Tumor	Stromal	-0.008541703096539165
SimSpace	8	Prolif_Invasive_Tumor	Prolif_Invasive_Tumor	0.00626403460837887
SimSpace	8	Prolif_Invasive_Tumor	Endothelial	-0.0025090437158469944
SimSpace	8	Prolif_Invasive_Tumor	Macrophages_1	-0.0016096357012750453
SimSpace	8	Prolif_Invasive_Tumor	CD8+_T_Cells	-0.0016459380692167578
SimSpace	8	Prolif_Invasive_Tumor	T_Cell_&_Tumor_Hybrid	-0.001649571948998179
SimSpace	8	Endothelial	Invasive_Tumor	-0.004799034608378893
SimSpace	8	Endothelial	Stromal	-0.0037790983606557403
SimSpace	8	Endothelial	Prolif_Invasive_Tumor	-0.0025090437158469944
SimSpace	8	Endothelial	Endothelial	0.006673533697632055
SimSpace	8	Endothelial	Macrophages_1	0.0008329234972677584
SimSpace	8	Endothelial	CD8+_T_Cells	-0.0010444171220400725
SimSpace	8	Endothelial	T_Cell_&_Tumor_Hybrid	-0.0007829781420765026
SimSpace	8	Macrophages_1	Invasive_Tumor	-0.005677604735883435
SimSpace	8	Macrophages_1	Stromal	0.002297522768670312
SimSpace	8	Macrophages_1	Prolif_Invasive_Tumor	-0.0016096357012750453
SimSpace	8	Macrophages_1	Endothelial	0.0008329234972677584
SimSpace	8	Macrophages_1	Macrophages_1	0.00021278688524590042
SimSpace	8	Macrophages_1	CD8+_T_Cells	0.00036035519125683104
SimSpace	8	Macrophages_1	T_Cell_&_Tumor_Hybrid	0.00030755009107468205
SimSpace	8	CD8+_T_Cells	Invasive_Tumor	-0.015169134790528236
SimSpace	8	CD8+_T_Cells	Stromal	0.009392313296903465
SimSpace	8	CD8+_T_Cells	Prolif_Invasive_Tumor	-0.0016459380692167578
SimSpace	8	CD8+_T_Cells	Endothelial	-0.0010444171220400725
SimSpace	8	CD8+_T_Cells	Macrophages_1	0.00036035519125683104
SimSpace	8	CD8+_T_Cells	CD8+_T_Cells	0.002708834244080146
SimSpace	8	CD8+_T_Cells	T_Cell_&_Tumor_Hybrid	0.0007745901639344245
SimSpace	8	T_Cell_&_Tumor_Hybrid	Invasive_Tumor	-0.005062249544626571
SimSpace	8	T_Cell_&_Tumor_Hybrid	Stromal	0.00355986338797814
SimSpace	8	T_Cell_&_Tumor_Hybrid	Prolif_Invasive_Tumor	-0.001649571948998179
SimSpace	8	T_Cell_&_Tumor_Hybrid	Endothelial	-0.0007829781420765026
SimSpace	8	T_Cell_&_Tumor_Hybrid	Macrophages_1	0.00030755009107468205
SimSpace	8	T_Cell_&_Tumor_Hybrid	CD8+_T_Cells	0.0007745901639344245
SimSpace	8	T_Cell_&_Tumor_Hybrid	T_Cell_&_Tumor_Hybrid	0.0023432240437158422
SimSpace	9	Invasive_Tumor	Invasive_Tumor	0.10839455116364993
SimSpace	9	Invasive_Tumor	Stromal	-0.05854105097894351
SimSpace	9	Invasive_Tumor	Prolif_Invasive_Tumor	0.014030042482452841
SimSpace	9	Invasive_Tumor	Endothelial	-0.002224057997783524
SimSpace	9	Invasive_Tumor	Macrophages_1	-0.010064009974141136
SimSpace	9	Invasive_Tumor	CD8+_T_Cells	-0.01635301071296639
SimSpace	9	Invasive_Tumor	T_Cell_&_Tumor_Hybrid	-0.007754793128925002
SimSpace	9	Stromal	Invasive_Tumor	-0.05854105097894351
SimSpace	9	Stromal	Stromal	0.03633424455116367
SimSpace	9	Stromal	Prolif_Invasive_Tumor	-0.01063524196527521
SimSpace	9	Stromal	Endothelial	-0.0024556612486147057
SimSpace	9	Stromal	Macrophages_1	0.005318562984854077
SimSpace	9	Stromal	CD8+_T_Cells	0.009266438862209089
SimSpace	9	Stromal	T_Cell_&_Tumor_Hybrid	0.00603932397487994
SimSpace	9	Prolif_Invasive_Tumor	Invasive_Tumor	0.014030042482452841
SimSpace	9	Prolif_Invasive_Tumor	Stromal	-0.01063524196527521
SimSpace	9	Prolif_Invasive_Tumor	Prolif_Invasive_Tumor	0.009238400443295176
SimSpace	9	Prolif_Invasive_Tumor	Endothelial	-0.0021952345770225356
SimSpace	9	Prolif_Invasive_Tumor	Macrophages_1	-0.0024115903213889917
SimSpace	9	Prolif_Invasive_Tumor	CD8+_T_Cells	-0.0003452438123383852
SimSpace	9	Prolif_Invasive_Tumor	T_Cell_&_Tumor_Hybrid	-0.0028038141854451436
SimSpace	9	Endothelial	Invasive_Tumor	-0.002224057997783524
SimSpace	9	Endothelial	Stromal	-0.0024556612486147057
SimSpace	9	Endothelial	Prolif_Invasive_Tumor	-0.0021952345770225356
SimSpace	9	Endothelial	Endothelial	0.0033770317694865144
SimSpace	9	Endothelial	Macrophages_1	0.0008202068710749916
SimSpace	9	Endothelial	CD8+_T_Cells	-0.0010981437015145932
SimSpace	9	Endothelial	T_Cell_&_Tumor_Hybrid	-0.0002240487624676768
SimSpace	9	Macrophages_1	Invasive_Tumor	-0.010064009974141136
SimSpace	9	Macrophages_1	Stromal	0.005318562984854077
SimSpace	9	Macrophages_1	Prolif_Invasive_Tumor	-0.0024115903213889917
SimSpace	9	Macrophages_1	Endothelial	0.0008202068710749916
SimSpace	9	Macrophages_1	Macrophages_1	0.0013698282231252292
SimSpace	9	Macrophages_1	CD8+_T_Cells	0.000500748060583671
SimSpace	9	Macrophages_1	T_Cell_&_Tumor_Hybrid	0.000822811230144071
SimSpace	9	CD8+_T_Cells	Invasive_Tumor	-0.01635301071296639
SimSpace	9	CD8+_T_Cells	Stromal	0.009266438862209089
SimSpace	9	CD8+_T_Cells	Prolif_Invasive_Tumor	-0.0003452438123383852
SimSpace	9	CD8+_T_Cells	Endothelial	-0.0010981437015145932
SimSpace	9	CD8+_T_Cells	Macrophages_1	0.000500748060583671
SimSpace	9	CD8+_T_Cells	CD8+_T_Cells	0.0033132434429257486
SimSpace	9	CD8+_T_Cells	T_Cell_&_Tumor_Hybrid	0.0010504155892131512
SimSpace	9	T_Cell_&_Tumor_Hybrid	Invasive_Tumor	-0.007754793128925002
SimSpace	9	T_Cell_&_Tumor_Hybrid	Stromal	0.00603932397487994
SimSpace	9	T_Cell_&_Tumor_Hybrid	Prolif_Invasive_Tumor	-0.0028038141854451436
SimSpace	9	T_Cell_&_Tumor_Hybrid	Endothelial	-0.0002240487624676768
SimSpace	9	T_Cell_&_Tumor_Hybrid	Macrophages_1	0.000822811230144071
SimSpace	9	T_Cell_&_Tumor_Hybrid	CD8+_T_Cells	0.0010504155892131512
SimSpace	9	T_Cell_&_Tumor_Hybrid	T_Cell_&_Tumor_Hybrid	0.0010414480975249338
