dataset	seed	normalized_radius	centered_l
SimSpace	4	0.125	-0.003333485502919828
SimSpace	4	0.13541666666666666	-0.004470480832294649
SimSpace	4	0.14583333333333331	-0.005829209560134996
SimSpace	4	0.15625	-0.007248239775526494
SimSpace	4	0.16666666666666666	-0.00867159212706145
SimSpace	4	0.17708333333333331	-0.010278021269674753
SimSpace	4	0.1875	-0.011938336425872692
SimSpace	4	0.19791666666666666	-0.013693374978540368
SimSpace	4	0.20833333333333331	-0.015457892329316658
SimSpace	4	0.21875	-0.0174489870874886
SimSpace	4	0.22916666666666666	-0.01944752571048436
SimSpace	4	0.23958333333333331	-0.021596028626459762
SimSpace	4	0.25	-0.02376930162018423
SimSpace	5	0.0	0.0
SimSpace	5	0.010416666666666666	-0.001370914149090777
SimSpace	5	0.020833333333333332	-8.66401735130605e-05
SimSpace	5	0.03125	0.000539016056301897
SimSpace	5	0.041666666666666664	0.000682343409708068
SimSpace	5	0.05208333333333333	0.0005943537653374173
SimSpace	5	0.0625	0.00041666178428556577
SimSpace	5	0.07291666666666666	-0.0001665455040758823
SimSpace	5	0.08333333333333333	-0.0008620401636863367
SimSpace	5	0.09375	-0.001682398530014062
SimSpace	5	0.10416666666666666	-0.002657955861762318
SimSpace	5	0.11458333333333333	-0.003796863078443971
SimSpace	5	0.125	-0.005045065527414266
SimSpace	5	0.13541666666666666	-0.006339785313021151
SimSpace	5	0.14583333333333331	-0.007830840198352507
SimSpace	5	0.15625	-0.009268718566988632
SimSpace	5	0.16666666666666666	-0.010971538891617172
SimSpace	5	0.17708333333333331	-0.012733035692519379
SimSpace	5	0.1875	-0.014544694337028263
SimSpace	5	0.19791666666666666	-0.016525173166604956
SimSpace	5	0.20833333333333331	-0.018605750749494804
SimSpace	5	0.21875	-0.020826546843438515
SimSpace	5	0.22916666666666666	-0.023000975266299156
SimSpace	5	0.23958333333333331	-0.02537542947787033
SimSpace	5	0.25	-0.027845138760320715
SimSpace	6	0.0	0.0
SimSpace	6	0.010416666666666666	-0.001271578400973753
SimSpace	6	0.020833333333333332	0.0002665616656913304
SimSpace	6	0.03125	0.0009582759294983756
SimSpace	6	0.041666666666666664	0.0011671310313728506
SimSpace	6	0.05208333333333333	0.0012582459797897683
SimSpace	6	0.0625	0.0010632432858233842
SimSpace	6	0.07291666666666666	0.0007407042352858134
SimSpace	6	0.08333333333333333	0.00017969835216247176
SimSpace	6	0.09375	-0.00044265068042551037
SimSpace	6	0.10416666666666666	-0.001258184231407014
SimSpace	6	0.11458333333333333	-0.0022254449716244268
SimSpace	6	0.125	-0.0033495577544941785
SimSpace	6	0.13541666666666666	-0.004720982677577867
SimSpace	6	0.14583333333333331	-0.00616165721165704
SimSpace	6	0.15625	-0.007772747113868522
SimSpace	6	0.16666666666666666	-0.009477500715649234
SimSpace	6	0.17708333333333331	-0.011253600060863067
SimSpace	6	0.1875	-0.013186321584177846
SimSpace	6	0.19791666666666666	-0.015255732555273571
SimSpace	6	0.20833333333333331	-0.01734729402556548
SimSpace	6	0.21875	-0.019530207707301378
SimSpace	6	0.22916666666666666	-0.021782551551065094
SimSpace	6	0.23958333333333331	-0.024205115939825717
