gene	reference_detection_fraction	simulated_detection_fraction	moran_i_reference	moran_i_simulated	geary_c_reference	geary_c_simulated
FAM49A	0.05905511811023622	0.054994778976679426	0.03342537312650318	0.021852226981740764	0.9460979700025994	0.9556793423791601
FASN	0.8838582677165354	0.863905325443787	0.30853879967038206	0.23658154189566255	0.6846667992894054	0.7499039747392927
FBLIM1	0.12155511811023623	0.11729899060215802	0.05676177545518198	0.04018649488890578	0.9229515509181979	0.9288729342344259
FBLN1	0.13336614173228348	0.1273929690219283	0.15806269717682217	0.10863192641273119	0.8085930306265879	0.8590386280761536
FCER1G	0.26968503937007876	0.2788026453184824	0.11560330415726638	0.054733946529354885	0.8547479172575253	0.9319790000702034
FCGR3A	0.12155511811023623	0.13226592412112775	0.061434459354467924	0.034265221084914185	0.9020374656916744	0.9521135697543146
FGL2	0.12450787401574803	0.1211277410372433	0.10017309759912799	0.051018893338223376	0.8700009705805539	0.9398407172638792
FLNB	0.6983267716535433	0.6714235990254089	0.07533149725898648	0.06311650836658846	0.9187927345098134	0.9361817744775919
FOXA1	0.9035433070866141	0.884441350504699	0.3115110230627503	0.2499305272464992	0.6812906257572586	0.7354048005790679
FSTL3	0.08021653543307086	0.07831534980856247	0.02412864153061283	-0.0037897816470188507	0.9692674822707498	1.0043701785759551
GATA3	0.8961614173228346	0.8980160111381831	0.2752270719292256	0.21490914484201057	0.7155918815757459	0.7760418131855046
GJB2	0.08464566929133858	0.07901148625130526	0.06362930515404831	0.043132783458784206	0.9143455584821037	0.9322785976780571
GLIPR1	0.1594488188976378	0.17577445179255133	0.1267254942943251	0.09589779033012152	0.844492576289858	0.8820671534100912
GPR183	0.11466535433070867	0.14061956143404108	0.14580264462089124	0.06437076250049809	0.8281137363860398	0.9108186976239274
HAVCR2	0.10679133858267717	0.10894535328924469	0.05051790816013822	0.03767747658236162	0.9177662030577357	0.9371853729485375
HDC	0.41929133858267714	0.3967977723633832	0.042123164091687905	0.025716815841976336	0.960119959209637	0.9790937596822117
HMGA1	0.6348425196850394	0.6272189349112426	0.09284531531307508	0.05021661363096012	0.9042252203663622	0.9509077771388386
HOOK2	0.25196850393700787	0.23424991298294465	0.04639129382282751	0.04311085152809306	0.9605875890224715	0.9692388849929781
HOXD8	0.3188976377952756	0.3101287852419074	0.04496760836162336	0.032510395479245495	0.9472110673943347	0.9591948460796654
HOXD9	0.0531496062992126	0.059519665854507485	0.11091810325652443	0.10552377735952068	0.8643750191686136	0.8505911806814564
HPX	0.0688976377952756	0.05708318830490776	0.012471846622161838	0.005600156181238444	0.992078014367542	1.017007139030901
IGF1	0.15501968503937008	0.13644274277758442	0.09188507357296317	0.06917820772049052	0.8999698093663733	0.9059270025995241
IGSF6	0.15108267716535434	0.154890358510268	0.06382572404655379	0.029200012408241504	0.9118761604230594	0.946926795032629
IL2RG	0.08759842519685039	0.11903933170901497	0.07295102586859045	0.056439851431146056	0.8988692413736729	0.9217511797014626
IL7R	0.10236220472440945	0.12391228680821441	0.11201939742721262	0.06756969098000697	0.8550899203420693	0.9092004815844347
ITGAM	0.05708661417322835	0.05917159763313609	0.053475274412376095	0.023087379531062692	0.9057191511087067	0.961748064945712
ITGAX	0.08316929133858268	0.08005569091541942	0.047185369470051274	0.03008870572199398	0.920203451829842	0.9449651350643143
ITM2C	0.28198818897637795	0.2958579881656805	0.05228759499245397	0.06417064405616998	0.9413030959741437	0.9198491712941007
JUP	0.43651574803149606	0.4295161851722938	0.033013253814532906	0.030573249877933	0.9639402838296088	0.9681280947496322
KARS	0.4281496062992126	0.38774799860772713	0.058581026545588076	0.0177811732603579	0.9398708961304221	0.9852221184188183
KDR	0.09645669291338582	0.11103376261747303	0.11469338410517023	0.17438720360455656	0.8697995413763739	0.7865513794961086
KLF5	0.5083661417322834	0.4723285764009746	0.11321134189968017	0.08303442964708227	0.8847740047229085	0.9220915700187806
KLRB1	0.0688976377952756	0.0870170553428472	0.09139085620491323	0.035208807288369934	0.8755833748429841	0.9557813737919414
KRT15	0.08218503937007875	0.07065784893839193	0.0002521270642916742	0.007750009361872045	1.0051200309497772	0.9954846476217897
KRT7	0.9296259842519685	0.9129829446571528	0.33697407126658757	0.23883565761672465	0.6493204397209953	0.7416609628233523
KRT8	0.8705708661417323	0.84963452836756	0.24525534407406707	0.1898834491685591	0.744507014101936	0.7972601049637315
LAG3	0.060039370078740155	0.06996171249564914	0.009190919756347813	0.0019931806544215406	0.9738981148287178	0.9921546104011412
LARS	0.6934055118110236	0.6881308736512356	0.0742094257375255	0.05173693589485901	0.9247132222598123	0.9489951495979513
LDHB	0.26427165354330706	0.2962060563870519	0.16834658617242693	0.1460285431542531	0.8079046195219434	0.8313600251363589
LGALSL	0.1830708661417323	0.17264183780020884	0.02731772368597828	0.003959336677661907	0.9729270190588809	0.9931719768266395
LPL	0.06840551181102363	0.06056387051862165	0.05943114313225497	0.0283663599458699	0.9374561106016237	0.9380943600069808
LPXN	0.1220472440944882	0.14027149321266968	0.10445068521318038	0.06704032058699	0.8752766238530731	0.9127485802728688
LRRC15	0.05856299212598425	0.05673512008353637	0.0772996040003307	0.04646543563730533	0.8733169895206775	0.9279115383191059
LUM	0.5900590551181102	0.6011138183083884	0.20860667030105026	0.19782534334696916	0.7737312705705777	0.7865711990742758
LYPD3	0.5654527559055118	0.5283675600417682	0.11124785935547059	0.13640419646326102	0.8845682234905522	0.8655828290206068
LYZ	0.19586614173228348	0.20640445527323356	0.13235987672152688	0.06005513074795422	0.8424702452640621	0.9213573265117513
MAP3K8	0.20866141732283464	0.2081447963800905	0.022184694322596996	0.011700467424234657	0.9711035309733229	0.9911684570117129
MDM2	0.8961614173228346	0.8673860076575008	0.14725382809262239	0.07018118009142015	0.8554809808839203	0.9257471197898617
MKI67	0.3395669291338583	0.3355377654020188	0.06440055812369878	0.018438911763673148	0.9343993114642252	0.989167584801916
MLPH	0.7913385826771654	0.7497389488339714	0.22492318562346814	0.2505221168544176	0.7672451178533543	0.7439433064356573
MMP2	0.281003937007874	0.2641837800208841	0.24555217519500397	0.16159230247718676	0.7230899186743013	0.8147363148516454
MMRN2	0.07677165354330709	0.09745910198398886	0.12355365317248937	0.14205700435408414	0.8602405357186038	0.8139694777468379
MNDA	0.05905511811023622	0.05708318830490776	0.01822976981898969	0.026436478744213256	0.9548275658106429	0.9528489467922976
MRC1	0.07381889763779527	0.07379046293073442	0.0742504188875734	0.04014837047972674	0.8834549568106352	0.9381351425434659
MYLK	0.11958661417322834	0.13644274277758442	0.10335728776462058	0.05573275704819176	0.8749225134980388	0.9049544290437659
MYO5B	0.7170275590551181	0.6665506439262096	0.16478937554896783	0.14846285405232384	0.8323388047967135	0.845414596157779
MZB1	0.11466535433070867	0.11416637660981552	0.04175976155269549	0.018520339788426404	0.9585219584419366	0.9771019192379126
NARS	0.8740157480314961	0.8659937347720154	0.138586674712435	0.0874373306676376	0.8558681093697104	0.9093779675101507
NOSTRIN	0.08169291338582677	0.09223807866341803	0.16131052956853112	0.08879742710486874	0.8216661163052644	0.8754202704337405
NPM3	0.11122047244094488	0.10650887573964497	-0.0010593512029128055	-0.00966364800341949	0.9904929151305759	1.0117695725155484
OCIAD2	0.3612204724409449	0.35920640445527324	0.05245797712544501	0.02369414942342812	0.9455838562318538	0.9826211695115717
OXTR	0.07627952755905512	0.06334841628959276	0.004248470757101731	0.003498154399861772	0.9820546657940223	0.9986490446026506
PCLAF	0.48720472440944884	0.47441698572920293	0.09187604399084445	0.043487977781316356	0.9090222789235339	0.9590605695678424
PCOLCE	0.054133858267716536	0.0435085276714236	0.028408336307367273	0.013557413353533257	0.9535018789498925	0.974994404515307
PDE4A	0.11958661417322834	0.11625478593804385	0.00651967783504671	0.007672943710873383	0.9797391098195584	0.981743991045456
PDGFRA	0.17519685039370078	0.1555864949530108	0.11070971831819104	0.1442175120362543	0.8542412098443978	0.8206646156667089
PDGFRB	0.21456692913385828	0.20431604594500521	0.1546641404417538	0.11799667184224728	0.8136886733628707	0.8467590269174701
PDK4	0.3558070866141732	0.37034458753915767	0.1266551964939381	0.042524775901694074	0.8550268884416059	0.9459767803112894
PECAM1	0.21309055118110237	0.2631395753567699	0.19779110774753408	0.15798273395843748	0.7876938657387675	0.8097301319075862
PELI1	0.2859251968503937	0.2742777584406544	0.01181153169843693	0.006353522318851056	0.9826793366911593	0.9850284014737698
PIM1	0.13730314960629922	0.14479638009049775	0.05300753263624387	0.028248385188584423	0.9290837352017222	0.9535401636977853
POLR2J3	0.9399606299212598	0.9404803341454925	0.07509117745642666	0.04542410589164095	0.9264880747578962	0.954071995752001
POSTN	0.546751968503937	0.5760529063696485	0.24291655943329463	0.1608276953885697	0.7368705334142681	0.8182446336096231
PPARG	0.2534448818897638	0.2575704838148277	0.07734635053003651	0.06990401599294306	0.9045030477180859	0.9048011209167466
PRDM1	0.12106299212598425	0.15245388096066828	0.11902795560672622	0.1238163301467463	0.8758899769509224	0.8396129712815726
PTGDS	0.07480314960629922	0.0685694396101636	0.1610258188131185	0.04739945382315491	0.7939363813316376	0.9270408981012466
PTN	0.08267716535433071	0.07622694048033414	0.039342408376084104	0.03454353619317316	0.9376976162134966	0.9328371434619385
