genes,p.value,estimate,adj.p.value,score,av_expr,high_expr
DNTTIP1,0.290198416078641,0.961392000407944,0.325732916006638,1.1894249502541,4.90444731933501,901
THAP2,0.288811196617998,0.946562341349886,0.325732916006638,1.17561348757841,4.84145435323916,575
PTRHD1,0.323865145202661,1.03407350913412,0.35985016133629,1.16584349892783,5.1603577568775,1010
TYROBP,0.371737526782083,1.10717808169995,0.408911279460291,1.09562716614617,5.22883162937598,210
SLAMF1,0.370186302217331,1.10245174261946,0.408911279460291,1.09556018510059,5.39090539674732,231
ANGPT2,0.312263795715942,0.847292023933353,0.348720990139631,0.986169074756138,5.32185867204434,174
CCDC6,0.395285738862533,1.02975596558809,0.432651057461479,0.95576427800048,6.57990601450124,1008
FSTL3,0.522510036027085,1.06659414320076,0.566900915270764,0.692338084342487,4.68301851431569,243
TRIB1,0.523094935454387,0.978023355356595,0.566900915270764,0.633751613706552,5.13098745322599,985
ZNF562,0.55195243003529,1.02052293418571,0.595242816704725,0.606490058511116,5.80882053675332,1009
HDC,0.585864844272026,1.01916186216693,0.628733003609004,0.544911356390128,5.28311961831655,1010
TUBB2B,0.602765425433966,1.02693464623012,0.643730065997439,0.519862220236431,4.82656046086551,550
WARS,0.622793723891807,0.982833838322994,0.661906373218346,0.465411053554049,5.68776356932434,1009
SEC24A,0.645364537002412,1.01586853913681,0.680523099679946,0.444889415397111,5.93214165292079,1012
ACTG2,0.646496944695948,0.983947597062558,0.680523099679946,0.429184960319312,6.54276586114331,1011
C2orf42,0.677532495264765,1.03102712360712,0.707421586232638,0.401376553728196,4.80698696265743,357
SERPINA3,0.678481612250394,1.03258586235567,0.707421586232638,0.400537888262467,5.16563002650345,357
NPM3,0.698468824797863,1.03052224288655,0.724826138941179,0.369818089465136,4.79009895246365,347
DST,0.733645044945286,1.01186784652905,0.754214532186743,0.313405784926786,6.70089526015248,1008
MAP3K8,0.737194580395762,1.01318076056564,0.754338640404966,0.308922263594472,5.05449421200993,793
PELI1,0.731893987216465,0.988169594305413,0.754214532186743,0.308427100202634,5.06746532883107,991
LARS,0.746820912441721,1.01137375195952,0.76065092933879,0.295250202846454,6.2808929049676,1009
SLC25A37,0.83647139361802,1.0096798587177,0.848035514267117,0.180291421041598,4.88466052207038,653
SLC5A6,0.931999583947521,1.00316664735651,0.940550038846122,0.070645915228906,5.57623090790723,1009
OXTR,0.956128307085294,1.00577520091314,0.960494189766048,0.045122256281163,4.82611366099978,232
SMS,0.972790422078408,0.998303904253486,0.972790422078408,0.027539824006132,6.59411787243916,1009
