genes,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
FCER1G,0.47510113185688213,4,204,8.997784071562748,1.1035915202654765,-3744.8734659120855,-6.178281496568415,10.426844857330629,SE,2032,2.9758687901265687e-05,0.0005595850431887257,0.0023691654205322266,7520.214035058964,-3819.02221281689,74.14874690480428,0.0,0.0
FCGR3A,0.2438093978376229,4,210,8.997784071562748,3.098129859383343,-3550.829939976682,-5.356774662421132,5.101057685661411,SE,2032,6.748507769282435e-05,0.0020709254644424658,0.006292104721069336,7132.126983188157,-3571.302728528941,20.472788552258862,6.048507596334574e-06,5.2368031137095885e-06
FGL2,0.4972758094117901,4,212,8.997784071562748,1.0098368957177952,-1604.940838742415,-2.4032976332693927,1.5847577032352766,SE,2032,0.0003086681337087712,0.005781864096704119,0.0017268657684326172,3240.3487807196234,-1626.9266529071247,21.98581416470961,2.746731380898204e-06,2.4763919286835802e-06
FLNB,2.0588710387554104e-09,4,216,8.997784071562748,485165195.4097903,-3500.0583799967026,-5.659306872235061,6.979640552138589e-08,SE,2032,0.023658708492553273,4041180976320145.0,0.0014460086822509766,7030.583863228198,-3500.0585030830644,0.00012308636178204324,0.9911481077317814,0.49147868003647593
FOXA1,0.2832625834022611,4,0,18.96868089946656,2.5152892169052357,-3510.481684374108,-8.547047372316014,5.561822255440932,SE,2032,1.4368386993169373e-05,0.0003759873284888323,0.005488872528076172,7051.43047198301,-3624.0167303179423,113.53504594383412,0.0,0.0
FSTL3,0.22162476012032933,4,1,18.96868089946656,3.4913050587416827,-3715.1825659591195,-4.183552731779677,1.6556659589425524,SE,2032,1.8460668074728333e-05,0.0006332584821997989,0.0037560462951660156,7460.832235153032,-3785.2428955285604,70.06032956944091,1.1102230246251565e-16,1.682156097916904e-16
GATA3,0.344134821578188,4,5,18.96868089946656,1.894536680081819,-3188.8995148542544,-2.3613462695635326,0.9494407483123857,SE,2032,1.9498087289567747e-05,0.0004296617872665774,0.003226757049560547,6408.266132943302,-3308.73553711527,119.83602226101539,0.0,0.0
GJB2,0.4169987543995252,4,10,18.96868089946656,1.3897983399477085,-3241.3667885087784,-8.289343811975707,5.873229554675681,SE,2032,9.513187001064185e-06,0.00018622019794412888,0.003016948699951172,6513.20068025235,-3486.135011936488,244.76822342770947,0.0,0.0
GLIPR1,2.048931431244846e-09,4,11,18.96868089946656,485165195.4097903,-2043.4843189845778,-2.604177849138153,1.4880061640766369e-08,SE,2032,6.669703236995367e-05,11503426376039.412,0.001489877700805664,4117.435741203949,-2043.4844423279199,0.0001233433420111396,0.9911388724202193,0.49147868003647593
GPR183,0.3206866642148456,4,12,18.96868089946656,2.105747549501153,-3156.762627315671,-2.6731801649062117,0.9901145308369425,SE,2032,1.995736479144597e-05,0.0004656363388236788,0.0030450820922851562,6343.9923578661355,-3262.0050914694157,105.24246415374455,0.0,0.0
