genes,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
DUSP5,0.9999546020622289,4,179,0.227359719647444,4.5399929762484854e-05,-7591.430644856896,-2.287256209197784,5.887053052708305,SE,6134,0.02626924081667178,9230666.98761528,0.003565073013305664,15217.747699092488,-7595.584405435379,4.153760578483343,0.0415421661861517,0.0993399626190584
EDNRB,0.3432270582382693,4,181,0.227359719647444,1.9135202972315049,-7431.2089421000355,-1.9688093622807095,1.5531422780633213,SE,6134,0.18855671635937676,4.1634611381890805,0.004040956497192383,14897.304293578767,-7431.2661358701735,0.05719377013792837,0.8109875736288478,0.9949060564104039
EGFL7,0.9999546020622289,4,183,0.227359719647444,4.5399929762484854e-05,-5487.213339131706,-1.9274568383698945,4.036679652890954,SE,6134,0.18798302445034315,66054771.4390359,0.003921031951904297,11009.313087642107,-5487.82226806356,0.6089289318542797,0.4351913714411102,0.7479851696644082
EGFR,0.4594345179769955,4,186,0.227359719647444,1.176586952905216,-10583.357204874375,-6.63448029469393,20.991664511509,SE,6134,0.5235831738001595,9.909593714520097,0.004157066345214844,21201.60081912745,-10583.753696830114,0.3964919557383837,0.5289065408700979,0.8687708787475935
EIF4EBP1,0.2708365875686087,4,188,0.227359719647444,2.692259231196489,-10201.412040464875,-7.685750468733123,16.40170226128243,SE,6134,0.13296237040728923,3.6411172096047824,0.003740072250366211,20437.710490308447,-10201.552301824235,0.14026135936001083,0.708021323878368,0.9949060564104039
ELF3,0.3784148046242589,4,199,0.227359719647444,1.6426002419923147,-10646.791467715284,-7.040759517995597,19.410691019258472,SE,6134,0.14345389213169543,2.959187210235129,0.0035071372985839844,21328.469344809266,-10647.22876730128,0.4372995859957882,0.5084287181578886,0.8473811969298144
ENAH,0.4536389284504649,4,202,0.227359719647444,1.2043945217421408,-10411.171663892175,-7.705212493973187,27.62027068730404,SE,6134,0.12014764177048101,2.281259845282902,0.00577998161315918,20857.22973716305,-10412.149356545875,0.9776926536997053,0.322769117438754,0.5950653726701589
EPCAM,0.5015614034046775,4,205,0.227359719647444,0.9937723175066605,-10827.864100792025,-8.625727768455022,38.16237016314534,SE,6134,0.17304111139886424,3.241244273795316,0.003985166549682617,21690.614610962748,-10828.846265281925,0.9821644899002422,0.32166501208716536,0.5950653726701589
ERBB2,0.49479907549960056,4,207,0.227359719647444,1.0210208160547178,-10697.652300828488,-7.763990795072569,30.649541365142813,SE,6134,0.27455081873975523,5.143425616476864,0.005066871643066406,21430.191011035673,-10698.438177301832,0.7858764733446151,0.375349909076377,0.6713575609496173
ERN1,0.47064269453525515,4,213,0.227359719647444,1.1247523996594824,-10795.353173878524,-7.6803792033797755,28.582377410954535,SE,6134,0.38329645776039933,7.218558340476586,0.003679990768432617,21625.592757135746,-10795.874678263212,0.5215043846874323,0.47020065889429397,0.8018925965639122
ESM1,0.5227388400901378,4,214,0.227359719647444,0.9129997566022604,-10534.705442751425,-6.604342774940593,23.65000711734046,SE,6134,0.3740013725960872,7.028191348961895,0.0038280487060546875,21104.297294881548,-10535.623549148873,0.918106397448355,0.3379726621500754,0.6119488220181025
ESR1,0.3937299817995075,4,217,0.227359719647444,1.5398093206029095,-10488.266045582443,-1.3751022233668733,1.4466073470624194,SE,6134,0.08690596082893498,1.751202637008842,0.0034978389739990234,21011.418500543583,-10489.17891796654,0.9128723840967723,0.33935343766458415,0.6119488220181025
