,cell_id,x_centroid,y_centroid,transcript_counts,control_probe_counts,control_codeword_counts,total_counts,cell_area,nucleus_area,Cluster
614,51913,1358.23525390625,1894.583178710937,467,0,0,467,308.688125,203.925625,Prolif_Invasive_Tumor
615,51914,1377.8468872070312,1896.7355712890624,470,0,0,470,293.74140625,198.6875,Invasive_Tumor
616,51915,1399.0647216796874,1894.1484252929688,270,0,0,270,214.80828125,78.1203125,Invasive_Tumor
617,51916,1332.924719238281,1898.930090332031,321,0,0,321,198.5971875,103.7690625,Invasive_Tumor
618,51917,1345.570440673828,1900.640051269531,230,0,0,230,136.4621875,81.9134375,Invasive_Tumor
619,51918,1413.1712768554687,1897.9748779296876,121,0,0,121,221.44625,7.1346875,Stromal
620,51919,1426.3811401367186,1904.8130615234372,271,1,0,272,425.733125,32.10609375,Endothelial
621,51920,1373.2012512207032,1905.9436279296876,155,0,0,155,96.634375,58.47734375,Invasive_Tumor
622,51921,1402.1652709960938,1911.7940185546877,534,0,0,534,497.1703125,174.16765625000002,Prolif_Invasive_Tumor
623,51922,1357.034442138672,1907.40498046875,104,0,0,104,55.49703125,26.867968750000003,Invasive_Tumor
624,51923,1346.72041015625,1912.0324584960936,208,0,0,208,109.1878125,59.74171875,Invasive_Tumor
625,51924,1364.608905029297,1912.6240966796877,263,0,0,263,180.444375,130.1403125,Prolif_Invasive_Tumor
626,51925,1386.4882080078123,1911.1882690429688,145,0,0,145,81.41671875,44.569218750000005,Prolif_Invasive_Tumor
627,51926,1340.5814636230468,1908.9732055664065,51,0,0,51,30.02890625,8.98609375,Invasive_Tumor
628,51927,1333.4979919433592,1916.246142578125,258,0,0,258,286.2003125,64.483125,Prolif_Invasive_Tumor
629,51928,1380.5993225097657,1918.5838500976563,264,0,0,264,167.03296875,73.153125,Invasive_Tumor
630,51929,1350.3833374023436,1923.7884399414063,357,2,0,359,298.61828125,84.5325,Stromal
631,51930,1368.066491699219,1925.5998779296876,472,0,0,472,294.82515625,113.92921875,Invasive_Tumor
632,51931,1394.22744140625,1923.8851440429687,305,1,0,306,188.93375,53.645625,Prolif_Invasive_Tumor
633,51932,1434.1047058105469,1926.5530151367184,308,1,0,309,280.149375,53.87140625,Stromal
634,51933,1421.049444580078,1928.564501953125,141,0,0,141,315.95828125,18.243125,Invasive_Tumor
635,51934,1327.0637451171874,1932.9948364257807,269,0,0,269,362.6046875,49.310625,Endothelial
636,51935,1385.9800964355468,1933.04775390625,134,0,0,134,162.74312500000002,33.00921875,Stromal
637,51936,1402.846661376953,1934.3673706054688,128,0,0,128,210.38296875,11.24390625,Endothelial
638,51938,1390.494891357422,1944.4341430664065,157,0,0,157,187.44359375,47.18828125,Stromal
639,51939,1344.227685546875,1942.0329345703124,329,0,0,329,277.981875,46.014218750000005,Endothelial
640,51940,1375.466223144531,1941.902404785156,135,0,0,135,87.78375,19.688125,Invasive_Tumor
641,51941,1435.7763793945312,1949.733569335937,590,0,0,590,277.75609375,131.63046875,Invasive_Tumor
642,51942,1413.4607666015625,1944.6723754882807,321,0,0,321,246.553125,81.50703125,Invasive_Tumor
643,51943,1367.3828186035155,1946.1959838867188,53,1,0,54,38.51828125,25.468125,Invasive_Tumor
644,51944,1334.0728210449215,1948.3456787109371,96,0,0,96,95.50546875,30.164375,Stromal
645,51945,1383.6717529296875,1947.75341796875,73,0,0,73,79.79109375,11.33421875,Invasive_Tumor
646,51946,1423.7658752441405,1951.325244140625,420,0,0,420,194.03640625,127.2503125,Invasive_Tumor
647,51947,1374.8870361328125,1951.9789306640623,220,0,0,220,109.23296875,68.0053125,Invasive_Tumor
648,51948,1362.0880615234375,1949.9477294921876,45,0,0,45,45.02078125,8.62484375,Stromal
649,51949,1324.3089233398437,1953.0679931640625,332,0,0,332,239.82484375,81.41671875,Invasive_Tumor
650,51950,1342.169403076172,1954.8107421875,77,0,0,77,76.94625,30.525625,Endothelial
651,51951,1366.6020263671874,1955.7730102539065,75,0,0,75,55.76796875,15.48859375,Stromal
652,51952,1358.093310546875,1957.605407714844,309,0,0,309,203.4740625,84.5325,Endothelial
653,51953,1384.1499816894532,1961.8026977539064,253,0,0,254,316.09375,64.88953125,Stromal
654,51954,1418.236309814453,1964.395654296875,528,1,0,529,272.74375000000003,162.47218750000002,Prolif_Invasive_Tumor
655,51955,1341.370245361328,1965.734777832031,202,0,0,202,249.39796875,63.21875,Endothelial
656,51956,1353.1844360351563,1965.4351196289065,156,0,0,156,132.62390625,37.028125,Endothelial
657,51957,1370.848602294922,1966.615283203125,111,0,0,111,102.3240625,27.81625,CD8+_T_Cells
658,51958,1330.841534423828,1966.875927734375,145,0,0,145,106.749375,8.30875,Invasive_Tumor
659,51959,1434.0855102539062,1969.1067626953125,500,0,0,500,240.36671875,117.1353125,Invasive_Tumor
660,51960,1365.2124755859377,1974.089514160156,175,0,0,176,113.5228125,55.9034375,Endothelial
661,51961,1402.178240966797,1953.4680908203125,205,0,0,205,257.029375,35.3121875,Macrophages_1
662,51962,1428.159582519531,1982.187756347656,526,1,0,528,276.58203125,135.15265625,Invasive_Tumor
663,51963,1397.272686767578,1973.892578125,197,0,0,197,227.8584375,27.81625,Stromal
664,51964,1379.9650390625,1976.9678100585936,226,0,0,226,215.7565625,65.97328125,Endothelial
665,51965,1354.7218444824218,1976.365380859375,134,0,0,134,87.73859375,24.20375,Stromal
666,51966,1404.9781982421875,1987.2149169921877,112,0,0,112,123.0959375,14.3596875,Invasive_Tumor
667,51967,1328.336669921875,1981.8966064453125,282,0,0,282,129.28234375,73.0628125,Invasive_Tumor
668,51968,1367.4162292480469,1983.1361206054687,98,0,0,98,60.55453125,18.83015625,Endothelial
669,51969,1357.391064453125,1986.0729370117188,212,0,0,212,133.843125,74.1465625,Stromal
670,51970,1346.2732055664062,1985.7905029296876,257,0,0,257,195.66203125,25.739062500000003,Invasive_Tumor
671,51971,1336.7205627441406,1986.5601928710937,292,0,0,292,212.415,34.27359375,Invasive_Tumor
672,51972,1391.2024291992186,1987.254968261719,215,0,0,215,207.0865625,72.20484375000001,Endothelial
673,51973,1378.0282592773438,1988.2244995117187,141,0,0,141,90.9446875,49.44609375,Endothelial
674,51974,1321.2920043945312,1989.6727783203123,98,0,0,98,41.13734375,26.32609375,Invasive_Tumor
675,51975,1366.6574340820312,1991.8021362304687,115,1,0,116,82.6359375,27.40984375,Invasive_Tumor
676,51976,1382.5298767089844,1995.115808105469,90,0,0,90,59.5159375,34.499375,CD8+_T_Cells
677,51978,1324.5525512695312,1994.8468627929688,172,0,0,172,89.8609375,27.1840625,Invasive_Tumor
678,51979,1409.8943359375,1975.7102416992184,365,1,0,366,223.433125,96.45375,Invasive_Tumor
679,51980,1420.595703125,1994.7470458984371,429,0,0,429,331.98875000000004,42.446875,Stromal
680,51981,1393.3050170898437,1998.4956787109372,128,0,0,128,124.7215625,43.6209375,Endothelial
681,51982,1354.6917541503906,1999.529748535156,264,0,0,264,237.9734375,35.944375,Invasive_Tumor
682,51983,1514.028985595703,1840.107019042969,350,1,0,351,195.75234375,87.24187500000001,Invasive_Tumor
683,51984,1494.472137451172,1844.4632690429687,338,0,0,339,210.02171875,65.6571875,Invasive_Tumor
684,51985,1456.554168701172,1846.7032348632813,221,1,0,222,157.324375,64.79921875000001,Invasive_Tumor
685,51986,1469.712359619141,1846.2460693359371,355,0,0,355,260.5515625,160.80140625,Prolif_Invasive_Tumor
686,51987,1508.789636230469,1851.7721069335937,221,0,0,221,130.18546875,50.394375,Stromal
687,51988,1449.9199768066403,1853.414208984375,217,0,0,217,156.8728125,63.896093750000006,Invasive_Tumor
688,51989,1440.027313232422,1854.783837890625,254,0,0,254,318.803125,33.18984375,Invasive_Tumor
689,51990,1477.2786254882812,1852.6580078125,221,0,0,221,126.12140625,79.47500000000001,Prolif_Invasive_Tumor
690,51991,1519.5887451171875,1855.328369140625,366,0,0,366,198.506875,140.345625,Prolif_Invasive_Tumor
691,51992,1484.2884277343749,1857.0375,320,0,0,320,193.9009375,110.000625,Invasive_Tumor
692,51993,1457.2143920898436,1860.6479248046876,117,1,0,118,73.01765625,31.067500000000003,Invasive_Tumor
693,51994,1463.0259765625,1861.997009277344,106,1,0,108,71.70812500000001,36.9378125,Prolif_Invasive_Tumor
694,51995,1497.5907409667968,1859.5455810546875,298,0,0,298,185.4115625,89.49968750000001,Invasive_Tumor
695,51996,1508.9682067871092,1863.237561035156,139,0,0,139,88.325625,41.95015625,Invasive_Tumor
696,51997,1461.121984863281,1872.0967773437496,154,0,0,154,99.11796875,41.182500000000005,Prolif_Invasive_Tumor
697,51998,1472.1054748535155,1868.5915649414064,345,1,0,346,198.32625,134.15921875,Invasive_Tumor
698,51999,1519.980438232422,1871.184729003906,364,0,0,364,224.6071875,108.6459375,Invasive_Tumor
699,52000,1488.4303100585937,1870.905407714844,279,0,0,279,173.3096875,109.45875,Invasive_Tumor
700,52001,1503.9159362792968,1873.573693847656,380,0,0,380,219.64,132.2175,Invasive_Tumor
701,52002,1449.1012084960937,1875.4668945312496,376,0,0,376,222.710625,106.388125,Invasive_Tumor
702,52003,1478.0004821777345,1878.4863037109371,278,1,0,279,151.40890625,88.2353125,Invasive_Tumor
703,52004,1474.8535522460936,1887.0259399414065,37,0,0,37,28.58390625,16.03046875,Invasive_Tumor
704,52005,1496.154913330078,1883.088049316406,299,1,0,300,164.14296875,115.82578125,Invasive_Tumor
705,52006,1523.3634216308594,1886.0609741210935,356,0,0,356,212.956875,63.083281250000006,Invasive_Tumor
706,52007,1466.3489868164063,1886.1188720703124,241,1,0,242,162.69796875,90.71890625,Prolif_Invasive_Tumor
707,52008,1451.4634033203124,1887.9037475585935,400,0,0,400,259.51296875,137.95234375,Invasive_Tumor
708,52009,1488.9162170410157,1890.7942871093749,260,0,0,260,132.759375,95.59578125,Invasive_Tumor
709,52010,1480.41943359375,1891.8391479492184,239,0,0,239,125.8053125,75.0496875,Prolif_Invasive_Tumor
710,52011,1509.1786315917968,1889.740295410156,418,0,0,419,225.8715625,84.75828125000001,Invasive_Tumor
711,52012,1494.6975036621093,1897.4452880859371,185,0,0,185,112.21328125,60.7803125,Invasive_Tumor
712,52013,1456.8340087890624,1896.584704589844,141,0,0,141,86.29359375,52.42640625,Invasive_Tumor
713,52014,1468.8298828125,1898.2145629882807,232,0,1,233,134.70109375,96.31828125,Invasive_Tumor
714,52015,1526.1911865234374,1900.4736206054688,378,0,0,378,286.15515625,84.17125,Invasive_Tumor
715,52016,1500.82275390625,1904.503857421875,194,0,0,194,100.8790625,57.122656250000006,Invasive_Tumor
716,52017,1510.623693847656,1905.18203125,323,0,0,323,192.8171875,96.995625,Invasive_Tumor
717,52018,1476.6488037109375,1904.718017578125,266,0,0,266,145.58375,76.63015625,Invasive_Tumor
718,52019,1491.0216064453125,1909.5849731445312,332,0,1,333,189.295,94.1959375,Prolif_Invasive_Tumor
719,52020,1444.3449645996093,1908.3334228515623,430,0,0,430,383.87328125,108.14921875,Invasive_Tumor
720,52021,1465.22734375,1912.5744995117184,260,0,0,260,133.88828125,84.48734375000001,Invasive_Tumor
721,52022,1457.3159729003903,1909.167443847656,307,0,0,307,151.04765625000002,114.20015625,Prolif_Invasive_Tumor
722,52023,1522.0633117675782,1916.1390625,56,0,0,56,30.20953125,9.934375,Invasive_Tumor
723,52024,1483.8672668457032,1915.726721191406,133,0,0,133,80.10718750000001,31.8803125,Invasive_Tumor
724,52025,1515.1306030273438,1914.9246582031249,129,0,0,129,108.6459375,37.299062500000005,Stromal
725,52026,1503.7543823242188,1919.468298339844,188,0,0,188,130.05,43.169375,Endothelial
726,52027,1474.5003540039063,1917.0565063476563,215,0,0,215,122.1928125,58.703125,Invasive_Tumor
727,52028,1514.7801025390625,1922.2903564453125,149,0,0,149,58.251562500000006,41.6340625,Invasive_Tumor
728,52029,1454.585430908203,1922.5227783203125,304,0,0,304,142.3325,68.05046875000001,Prolif_Invasive_Tumor
729,52030,1493.696221923828,1927.321875,350,0,0,350,265.11234375000004,71.70812500000001,Endothelial
730,52031,1522.1585632324218,1925.621252441406,175,0,0,175,97.718125,58.7934375,Invasive_Tumor
731,52032,1479.3047424316403,1929.087451171875,394,0,0,395,249.57859375,96.58921875,Invasive_Tumor
732,52033,1466.268469238281,1927.5090576171876,195,0,0,197,98.84703125,61.72859375,Invasive_Tumor
733,52034,1508.9236938476563,1930.3636962890623,196,0,0,196,117.72234375,55.6325,Invasive_Tumor
734,52035,1455.9383544921875,1932.7842041015624,336,1,0,337,160.62078125,122.23796875,Invasive_Tumor
735,52036,1519.1961181640625,1935.0528076171877,192,0,0,192,100.3371875,77.126875,Invasive_Tumor
736,52037,1445.0269775390625,1936.408740234375,343,0,0,344,211.46671875,88.5965625,Invasive_Tumor
737,52038,1467.7617797851562,1939.118322753906,330,0,0,330,142.73890625,68.18593750000001,Invasive_Tumor
738,52039,1507.3638732910156,1939.0405029296876,223,0,0,223,121.24453125,64.0315625,Invasive_Tumor
739,52040,1530.779962158203,1848.4009521484372,366,1,0,367,183.7859375,115.96125,Invasive_Tumor
740,52041,1535.0566284179688,1858.2759765625,191,2,1,194,134.204375,95.550625,Invasive_Tumor
741,52042,1530.5857238769531,1865.744396972656,150,0,0,150,74.73359375,42.49203125,Invasive_Tumor
742,52043,1531.130773925781,1873.4558227539064,77,0,0,77,51.839375,28.2678125,Invasive_Tumor
743,52044,1538.645263671875,1883.0457153320312,600,0,0,600,350.27703125,154.20859375,Invasive_Tumor
744,52045,1529.4671936035156,1914.527258300781,284,0,0,284,158.90484375,72.3403125,Invasive_Tumor
745,52046,1535.5013427734375,1926.8119995117188,210,0,0,210,115.64515625,72.430625,Invasive_Tumor
746,52047,1540.6876708984375,1934.852136230469,239,0,0,239,115.82578125,61.99953125,Invasive_Tumor
747,52048,1533.03642578125,1933.437890625,84,0,0,84,39.42140625,31.02234375,Invasive_Tumor
748,52049,1527.892120361328,1935.173999023437,104,0,0,105,58.567656250000006,28.6290625,Invasive_Tumor
749,52050,1530.4198120117187,1839.9457763671876,149,0,0,149,88.00953125000001,46.8721875,Invasive_Tumor
750,52051,1539.2516357421875,1836.649743652344,113,0,0,113,104.08515625,34.860625,Endothelial
751,52052,1541.611962890625,1915.146081542969,476,0,0,476,282.27171875,135.1978125,Invasive_Tumor
752,52053,1544.1892517089843,1864.711572265625,283,0,0,283,180.5346875,79.24921875,Invasive_Tumor
753,52054,1543.8911499023436,1843.058984375,89,0,0,89,68.3665625,24.6553125,Endothelial
754,52055,1626.4407592773437,2179.352062988281,280,0,0,280,155.3375,89.72546875,Invasive_Tumor
755,52056,1604.0432800292967,2183.144274902344,714,0,0,714,319.345,195.48140625,Invasive_Tumor
756,52057,1637.2380004882812,2184.299951171875,306,1,0,307,154.615,118.62546875,Invasive_Tumor
757,52058,1619.1929321289062,2187.360034179688,418,1,0,419,221.58171875,121.15421875,Invasive_Tumor
758,52059,1590.0970336914063,2196.1947631835938,766,0,0,766,419.63703125,245.65,Prolif_Invasive_Tumor
759,52060,1631.5507202148438,2197.0358398437497,418,0,0,418,168.11671875000002,96.58921875,Invasive_Tumor
760,52061,1614.5228088378906,2195.934533691406,116,0,0,116,52.69734375,26.1003125,Invasive_Tumor
761,52062,1604.6695739746094,2201.133312988281,382,0,0,382,174.79984375,120.43171875,Invasive_Tumor
762,52063,1637.8917907714842,2202.3205322265626,140,0,0,141,66.650625,34.589687500000004,Invasive_Tumor
763,52064,1619.4978820800782,2204.6491088867188,329,0,0,329,159.62734375,107.471875,Invasive_Tumor
764,52065,1627.8216979980468,2210.779650878906,247,0,0,247,102.18859375,67.55375000000001,Invasive_Tumor
765,52066,1614.9660705566405,2214.271166992188,355,0,0,355,149.376875,90.98984375,Invasive_Tumor
766,52067,1599.4917541503903,2213.4435791015626,452,1,0,453,229.213125,122.59921875,Invasive_Tumor
767,52068,1641.236798095703,2218.26259765625,378,0,0,378,270.75687500000004,70.57921875000001,Stromal
768,52069,1629.8747924804686,2223.3376953125,433,0,0,433,242.218125,44.02734375,Invasive_Tumor
769,52070,1613.1773559570313,2229.424450683593,762,0,0,762,370.5521875,132.94,Invasive_Tumor
770,52071,1598.415557861328,2224.2582519531247,190,0,0,191,92.7509375,50.25890625,Invasive_Tumor
771,52072,1593.872229003906,2230.146826171875,520,0,0,520,230.658125,124.1796875,Invasive_Tumor
772,52073,1599.9554565429687,2246.1901611328126,529,0,0,529,307.6946875,91.576875,Invasive_Tumor
773,52074,1586.7801452636718,2251.194702148437,373,0,0,373,236.7090625,74.46265625000001,Invasive_Tumor
774,52075,1627.4637268066406,2259.3801025390626,116,0,0,116,102.18859375,6.0509375,Stromal
775,52076,1619.6601623535155,2263.109020996093,103,0,0,103,101.7821875,7.225,Stromal
776,52077,1604.7367065429687,2271.310607910156,633,0,0,634,379.80921875,115.46453125,Invasive_Tumor
777,52078,1592.1411010742188,2272.719250488281,333,1,0,335,146.93843750000002,55.27125,Invasive_Tumor
778,52079,1619.7581115722655,2283.0771728515624,335,0,0,335,134.38500000000002,81.05546875,Invasive_Tumor
779,52080,1627.357061767578,2287.5324096679688,201,0,0,201,97.8084375,32.55765625,Invasive_Tumor
780,52081,1603.7801452636718,2288.9165649414062,311,1,0,312,125.12796875,87.91921875,Invasive_Tumor
781,52082,1616.7900634765624,2298.912365722656,467,0,0,467,266.28640625,82.2746875,Prolif_Invasive_Tumor
782,52083,1595.092547607422,2300.058703613281,216,0,0,216,80.92,48.09140625,Invasive_Tumor
783,52084,1586.9216735839843,2298.5334350585936,127,0,0,127,63.3090625,30.93203125,Invasive_Tumor
784,52085,1634.927374267578,2310.813195800781,504,1,0,505,509.9946875,49.8525,Endothelial
