genes,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
KRT8,2.0593722853298617e-09,4,17,1.8011164331961527,485165195.4097903,-10357.261338741264,-5.388257715708867,6.423414885136207e-08,SE,5763,0.002559306716626824,436946399259288.56,0.004086017608642578,20749.159531288275,-10357.261382170505,4.342924148659222e-05,0.9947419097011648,0.994744633287668
LAG3,2.0593722853298617e-09,4,46,1.8011164331961527,485165195.4097903,-6597.627867075098,-2.8886559989814624,1.8390245943918316e-08,SE,5763,0.0005110370027899236,87248541492369.8,0.005118131637573242,13229.892587955943,-6597.627910558849,4.348375114204828e-05,0.9947386109714431,0.994744633287668
LARS,2.0593722853298617e-09,4,144,1.8011164331961527,485165195.4097903,-9648.604958409349,-4.579563249880615,4.6661780039850307e-08,SE,5763,0.0009175506932268102,156651982718090.75,0.004189968109130859,19331.846770624445,-9648.605001868093,4.345874367572833e-05,0.9947401240771594,0.994744633287668
LDHB,2.0501273774082303e-09,4,12,4.461762017507637,485165195.4097903,-9444.091976568525,-2.606021098958918,1.7197141053774903e-08,SE,5763,0.0021163238636049057,364582647635028.56,0.004270076751708984,18922.820806942796,-9444.092020001954,4.343342880019918e-05,0.9947416562265141,0.994744633287668
LGALSL,2.0501273774082307e-09,4,43,4.461762017507637,485165195.4097903,-5720.941858181679,-1.874159661659244,8.11854083957764e-09,SE,5763,4.0120643015042994e-05,6911650200044.686,0.0029189586639404297,11476.520570169105,-5720.94190191708,4.373540105007123e-05,0.9947234087557028,0.994744633287668
LPL,2.0501273774082303e-09,4,61,4.461762017507637,485165195.4097903,-9281.223216429556,-3.672660073964883,3.0825056448284635e-08,SE,5763,4.383691681080359e-05,7551858895460.132,0.003393888473510742,18597.08328666486,-9281.223260149782,4.372022522147745e-05,0.9947243242889191,0.994744633287668
LPXN,2.0501273774082307e-09,4,70,4.461762017507637,485165195.4097903,-8756.228715403202,-2.817743483719052,1.8884654708821783e-08,SE,5763,1.7695740673223796e-05,3048474809293.7573,0.003495931625366211,17547.09428461215,-8756.22875931572,4.3912517867283896e-05,0.9947127353070776,0.994744633287668
LRRC15,2.0501273774082307e-09,4,85,4.461762017507637,485165195.4097903,-7975.902678355749,-1.880959039454272,9.214358861960294e-09,SE,5763,4.27083435374536e-06,735743769220.1001,0.003172159194946289,15986.442210517245,-7975.902722814307,4.445855756785022e-05,0.9946799645336503,0.994744633287668
LUM,2.0501273774082307e-09,4,107,4.461762017507637,485165195.4097903,-5480.770558480057,-2.3803450054749242,1.2487097530174054e-08,SE,5763,3.953166843062166e-05,6810186564411.761,0.004377841949462891,10996.17797076586,-5480.770602218072,4.373801493784413e-05,0.9947232510801144,0.994744633287668
LYPD3,2.0501273774082307e-09,4,118,4.461762017507637,485165195.4097903,-5629.4660190289,-2.4601608611954457,1.3326239801048035e-08,SE,5763,0.00030511713202062754,52563038079342.984,0.003078937530517578,11293.568891863546,-5629.46606254111,4.3512210140761454e-05,0.9947368895560016,0.994744633287668
LYZ,2.0501273774082307e-09,4,127,4.461762017507637,485165195.4097903,-9638.622014791974,-1.7743537372940479,9.911759024645562e-09,SE,5763,2.1946414492610356e-05,3780745489578.5244,0.004296302795410156,19311.880883389695,-9638.622058650675,4.385870124679059e-05,0.9947159761345459,0.994744633287668
MAP3K8,2.0501273774082307e-09,4,147,4.461762017507637,485165195.4097903,-6371.81662459908,-2.1180028056155757,1.0347702941119832e-08,SE,5763,0.000550668494690213,94864581558597.33,0.003214120864868164,12778.270103003906,-6371.816668078803,4.3479722990014125e-05,0.9947388546700435,0.994744633287668
MDM2,2.0501273774082307e-09,4,169,4.461762017507637,485165195.4097903,-8940.18474586858,-4.949644872215069,5.3182034202403986e-08,SE,5763,7.305361981013286e-05,12585069132251.34,0.0037572383880615234,17915.006345542908,-8940.184789513314,4.364473352325149e-05,0.9947288809442112,0.994744633287668
MEDAG,2.0501273774082307e-09,4,202,4.461762017507637,485165195.4097903,-9867.921919633998,-8.028945027250128,1.365761634325989e-07,SE,5763,1.3220430669966622e-05,2277505678323.531,0.0034532546997070312,19770.480693073743,-9867.92196362928,4.399528188514523e-05,0.9947077551455618,0.994744633287668
MKI67,2.0501273774082307e-09,4,213,4.461762017507637,485165195.4097903,-10275.815809542,-7.751564962055539,1.28117645810732e-07,SE,5763,1.4155074667388345e-05,2438518361229.143,0.004150867462158203,20586.268472889747,-10275.815853516782,4.397478187456727e-05,0.9947089882564915,0.994744633287668
MLPH,1.998344993496105e-09,4,7,11.052767013816814,485165195.4097903,-5333.587632432274,-2.252818576708452,1.1228999419192617e-08,SE,5763,6.853141913419447e-07,124257996656.54398,0.003434896469116211,10701.812118670296,-5333.587678429313,4.599703879648587e-05,0.9945886992874463,0.994744633287668
MMP1,1.998344993496105e-09,4,14,11.052767013816814,485165195.4097903,-10078.051265969516,-9.183017183762182,1.7779890439495607e-07,SE,5763,6.16630935909018e-06,1118046667360.976,0.0041272640228271484,20190.73938574478,-10078.051310225439,4.4255923057789914e-05,0.9946921021070251,0.994744633287668
MMP2,0.0631784953130686,4,27,11.052767013816814,14.376318267829026,-7893.130919044732,-0.46518388039281916,0.06260852429269194,SE,5763,1.4234028614302598e-05,0.003332485848266888,0.016356945037841797,15820.89869189521,-7943.487284195757,50.356365151024875,1.2820855488371308e-12,2.8205882074416877e-10
MMRN2,1.9983449934961054e-09,4,37,11.052767013816814,485165195.4097903,-9407.796268975319,-1.5893438430595914,8.365591392017246e-09,SE,5763,4.205135263241332e-05,7624556591437.037,0.004384040832519531,18850.229391756384,-9407.796312693972,4.3718653614632785e-05,0.9947244191104999,0.994744633287668
MNDA,1.9983449934961054e-09,4,41,11.052767013816814,485165195.4097903,-6756.220958261387,-2.06937972511952,1.0085239543019984e-08,SE,5763,1.0077986691039488e-05,1827293892904.4382,0.0027260780334472656,13547.07877032852,-6756.221002327682,4.406629523145966e-05,0.9947034857903835,0.994744633287668
MRC1,1.9983449934961054e-09,4,52,11.052767013816814,485165195.4097903,-9276.781304971111,-2.5981631659531885,1.6932383995307827e-08,SE,5763,1.5749719828491147e-05,2855666289294.2725,0.002888917922973633,18588.19946374797,-9276.781348901144,4.393003291625064e-05,0.9947116809822949,0.994744633287668
MYLK,1.9983449934961054e-09,4,65,11.052767013816814,485165195.4097903,-9567.814462434326,-8.263431896740991,1.4408388182839023e-07,SE,5763,1.908516916706429e-05,3460434522604.789,0.004645109176635742,19170.2657786744,-9567.814506314464,4.3880138036911376e-05,0.9947146849766532,0.994744633287668
MYO5B,1.998344993496105e-09,4,86,11.052767013816814,485165195.4097903,-8132.361398648391,-2.2207520146681623,1.2194297076893663e-08,SE,5763,3.395977260759171e-06,615742875960.0316,0.003365039825439453,16299.359651102528,-8132.361443206911,4.4558520130522083e-05,0.9946739870804844,0.994744633287668
MZB1,1.9983449934961054e-09,4,87,11.052767013816814,485165195.4097903,-10048.97677858761,-8.080499952813433,1.38528290857008e-07,SE,5763,5.792628615424531e-06,1050292604795.7468,0.0032057762145996094,20132.590410980967,-10048.97682287119,4.4283578972681426e-05,0.9946904439145179,0.994744633287668
