seed	basis	basis_label	basis_dimension	GeneID	Gene	is_direct	is_null	effect_role	effect_role_label	effect_scope	effect_scope_label	reference_state	target_state	direction	configured_strength	configured_coefficient_0	configured_coefficient_1	latent_coefficient_0	latent_coefficient_1	estimated_coefficient_0	estimated_coefficient_1	latent_strength	observed_strength	maximum_latent_spatial_vector_error	orthogonal_estimate_magnitude	full_log_likelihood	reduced_log_likelihood	likelihood_ratio	full_minus_reduced_log_likelihood	lrt_df	p_value	detection_alpha	detected	full_fit_converged	reduced_fit_converged	full_fit_iterations	reduced_fit_iterations	fixed_design_rank	fixed_design_columns	fixed_design_condition_number	n_cells	n_target_cells
19	hotspot	Hotspot	1	28	Gene_28	True	False	state_1	Type 1 deviation	cell_type_specific	Cell-type-specific fk	0	1.0	Not applicable	-0.75	-0.75		-0.7500000000000006		-0.7496540246523571		-0.7500000000000006	-0.7496540246523571	8.323423480248612e-16	0.0	31179.70022752842	31159.665486459766	40.06948213731084	20.03474106865542	1	2.4508814977929685e-10	0.05	True	True	True	5	4	8	8	20.423315919050847	1620	411
19	hotspot	Hotspot	1	29	Gene_29	True	False	state_1	Type 1 deviation	cell_type_specific	Cell-type-specific fk	0	1.0	Not applicable	-0.75	-0.75		-0.7500000000000007		-0.908542484464502		-0.7500000000000007	-0.908542484464502	7.218910883480806e-16	0.0	34836.58251258185	34773.6993082349	125.76640869390394	62.88320434695197	1	3.4589317194901243e-29	0.05	True	True	True	5	4	8	8	20.423315919050847	1620	411
19	hotspot	Hotspot	1	30	Gene_30	True	False	state_1	Type 1 deviation	cell_type_specific	Cell-type-specific fk	0	1.0	Not applicable	-0.5	-0.5		-0.4999999999999999		-0.5921662295143496		-0.4999999999999999	-0.5921662295143496	3.835848013325208e-16	0.0	43137.51808939195	43109.516882967924	56.00241284805816	28.00120642402908	1	7.238213353141079e-14	0.05	True	True	True	5	4	8	8	20.423315919050847	1620	411
19	hotspot	Hotspot	1	31	Gene_31	True	False	state_1	Type 1 deviation	cell_type_specific	Cell-type-specific fk	0	1.0	Not applicable	-0.5	-0.5		-0.5000000000000001		-0.6473249408280142		-0.5000000000000001	-0.6473249408280142	4.3051555084882676e-16	0.0	16870.53703688573	16848.87981185268	43.31445006610011	21.657225033050054	1	4.6612844849214037e-11	0.05	True	True	True	5	5	8	8	20.423315919050847	1620	411
19	hotspot	Hotspot	1	32	Gene_32	True	False	state_1	Type 1 deviation	cell_type_specific	Cell-type-specific fk	0	1.0	Not applicable	-0.5	-0.5		-0.5000000000000009		-0.4801468870189611		-0.5000000000000009	-0.4801468870189611	1.1129984578117105e-15	0.0	35023.362400332175	35005.83794648448	35.04890769539634	17.52445384769817	1	3.215272813518449e-09	0.05	True	True	True	5	4	8	8	20.423315919050847	1620	411
19	hotspot	Hotspot	1	33	Gene_33	True	False	state_1	Type 1 deviation	cell_type_specific	Cell-type-specific fk	0	1.0	Not applicable	-0.25	-0.25		-0.2500000000000008		-0.14929848235384843		-0.2500000000000008	-0.14929848235384843	1.0311132914026047e-15	0.0	23433.684438021886	23432.209382537138	2.950110969497473	1.4750554847487365	1	0.08587166145246815	0.05	False	True	True	4	4	8	8	20.423315919050847	1620	411
19	hotspot	Hotspot	1	34	Gene_34	True	False	state_1	Type 1 deviation	cell_type_specific	Cell-type-specific fk	0	1.0	Not applicable	-0.25	-0.25		-0.25		-0.363092750483839		-0.25	-0.363092750483839	4.242574784836801e-16	0.0	29577.58535043296	29571.70207918755	11.76654249081912	5.88327124540956	1	0.0006030488837856874	0.05	True	True	True	5	4	8	8	20.423315919050847	1620	411
19	hotspot	Hotspot	1	35	Gene_35	True	False	state_1	Type 1 deviation	cell_type_specific	Cell-type-specific fk	0	1.0	Not applicable	-0.25	-0.25		-0.2499999999999997		-0.21077666285522767		-0.2499999999999997	-0.21077666285522767	6.373185905885707e-16	0.0	19141.415524705186	19139.392815434738	4.045418540896208	2.022709270448104	1	0.04429139444375027	0.05	True	True	True	4	4	8	8	20.423315919050847	1620	411
19	hotspot	Hotspot	1	36	Gene_36	True	False	state_1	Type 1 deviation	cell_type_specific	Cell-type-specific fk	0	1.0	Not applicable	0.25	0.25		0.25000000000000017		0.23978489226742766		0.25000000000000017	0.23978489226742766	4.964133950000973e-16	0.0	36757.41240985602	36754.66131005847	5.50219959509559	2.751099797547795	1	0.018992569184892595	0.05	True	True	True	4	4	8	8	20.423315919050847	1620	411
19	hotspot	Hotspot	1	37	Gene_37	True	False	state_1	Type 1 deviation	cell_type_specific	Cell-type-specific fk	0	1.0	Not applicable	0.25	0.25		0.25		0.14995098400782617		0.25	0.14995098400782617	7.348960454469678e-16	0.0	47821.579338883486	47818.84282080798	5.473036151015549	2.7365180755077745	1	0.01931204758327345	0.05	True	True	True	4	4	8	8	20.423315919050847	1620	411
19	hotspot	Hotspot	1	38	Gene_38	True	False	state_1	Type 1 deviation	cell_type_specific	Cell-type-specific fk	0	1.0	Not applicable	0.25	0.25		0.2500000000000012		0.1752595441781605		0.2500000000000012	0.1752595441781605	1.4768894801301109e-15	0.0	28778.308329264826	28777.067295279856	2.4820679699405446	1.2410339849702723	1	0.11515076131147337	0.05	False	True	True	4	4	8	8	20.423315919050847	1620	411
19	hotspot	Hotspot	1	39	Gene_39	True	False	state_1	Type 1 deviation	cell_type_specific	Cell-type-specific fk	0	1.0	Not applicable	0.5	0.5		0.4999999999999998		0.5037438188138829		0.4999999999999998	0.5037438188138829	1.2102438326570792e-15	0.0	20945.58966980128	20926.6328206963	37.913698209958966	18.956849104979483	1	7.394422793543048e-10	0.05	True	True	True	5	5	8	8	20.423315919050847	1620	411
19	hotspot	Hotspot	1	40	Gene_40	True	False	state_1	Type 1 deviation	cell_type_specific	Cell-type-specific fk	0	1.0	Not applicable	0.5	0.5		0.5000000000000006		0.5822644913038716		0.5000000000000006	0.5822644913038716	5.551115123125783e-16	0.0	16719.126605020087	16702.437903134618	33.377403770937235	16.688701885468618	1	7.59007323621225e-09	0.05	True	True	True	5	4	8	8	20.423315919050847	1620	411
