genes,gene,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
ESR1,ESR1,0.4656910431694898,4,TRAC,0.27294033677742424,1.147341975626638,-4731.396698609034,0.16649866237090544,0.5520597235744271,SE,3171,0.1961927632463921,3.702237944276886,0.0020880699157714844,9495.04060631622,-4732.134747813828,0.7380492047941516,0.39028650485389194,0.8851858872974869
FAM107B,FAM107B,0.6415993272028021,4,TRAPPC3,0.27294033677742424,0.5586029559642293,-5531.30210185081,-5.433001431161445,20.036748027525014,SE,3171,0.1845078789884225,3.946207642202247,0.0021200180053710938,11094.851412799773,-5533.384365830614,2.0822639798043383,0.14901900907725918,0.5874994118861732
FAM49A,FAM49A,0.5249624642507826,4,USP53,0.27294033677742424,0.904894583875932,-5596.31359127472,-7.6829460587806855,31.855527300110694,SE,3171,1.0030387654311794,18.861608571571878,0.002032041549682617,11224.874391647594,-5596.9752790678385,0.6616877931182898,0.41596472049180877,0.9060617674079002
FASN,FASN,0.35968269239401857,4,VOPP1,0.27294033677742424,1.7802213841995584,-5462.688298658396,-6.736292755605857,16.914867174167117,SE,3171,0.1755268076226379,3.744700861554895,0.002177000045776367,10957.623806414946,-5462.88220464779,0.19390598939389747,0.6596853863853305,0.9929148290102869
FBLIM1,FBLIM1,0.4893237662166878,4,ZNF562,0.27294033677742424,1.0436326324298921,-5495.502708430114,-7.659051959955967,29.464713420831814,SE,3171,1.6324611340823234,30.59920800835116,0.0031287670135498047,11023.252625958381,-5495.844108438196,0.34140000808201876,0.5590222233501986,0.9929148290102869
FBLN1,FBLN1,2.0609348866250666e-09,4,ADAM9,0.682440015821231,485165195.4097903,-5384.956211158569,-7.647798595121646,1.241574470455654e-07,SE,3171,0.2726542594408468,4.647927026584502e+16,0.002173900604248047,10802.159631415292,-5384.956290018903,7.88603338151006e-05,0.9929146116490464,0.9929148290102869
FCER1G,FCER1G,2.0609348866250666e-09,4,AIF1,0.682440015821231,485165195.4097903,-5252.331086298069,-1.9000579764597294,1.0755090675501142e-08,SE,3171,49248.175611502964,8.395318191768258e+21,0.0025212764739990234,10536.909381694291,-5252.331165154127,7.885605828050757e-05,0.9929148037192284,0.9929148290102869
FCGR3A,FCGR3A,0.3408460311053721,4,BTNL9,0.682440015821231,1.9336708035486125,-3311.7616948731684,-2.1591649596617235,1.6021540127892315,SE,3171,0.0009511840311127941,0.0211159242694883,0.0033512115478515625,6655.77059884449,-3318.7706118726633,7.008916999494886,0.008110472698721338,0.16220945397442676
FGL2,FGL2,0.2159972359677847,4,CAVIN2,0.682440015821231,3.6293036871847604,-2669.1081827552666,-2.3114339921099503,1.1489194078708236,SE,3171,0.0012655718165503096,0.0447904228364042,0.010679006576538086,5370.463574608687,-2672.518018804525,3.4098360492585016,0.06480888519156769,0.4703412867735214
FLNB,FLNB,0.04527292617331603,4,CCL5,0.682440015821231,21.086018465755373,-4368.028952904409,0.18682782016684135,0.04323786439213889,SE,3171,0.0036409815870098172,1.5467075433942936,0.002470731735229492,8768.305114906972,-4369.4273940338335,1.3984411294241,0.23698475080425818,0.659957533885276
