genes,p.value,estimate,adj.p.value,score,av_expr,high_expr
IGSF6,2.41416609946889e-45,2.44111094214859,9.83549151635474e-45,250.787472242898,5.23730122741895,307
FGL2,1.74355224645467e-41,2.6638935507518,6.72949989859695e-41,250.006580918925,5.44638530686567,253
GATA3,6.09061063275714e-56,1.96435253534076,3.26813253465017e-55,249.743885762768,8.28704435670358,609
MYLK,9.07832240547136e-41,2.70001801317083,3.44350160207534e-40,248.941929180803,5.36314026279407,243
TRAC,7.33587045707257e-38,2.52256806226677,2.5217054696187e-37,215.693336131797,5.51810243961966,256
MLPH,4.8083836808306e-49,1.87468885993651,2.15886614241374e-48,208.570962259128,7.66225344652618,609
KRT7,9.89344931580812e-49,1.87621858640711,4.35311769895557e-48,207.387440020494,8.82402580121626,609
TCIM,1.97987011964172e-48,1.86961196809209,8.54061620237603e-48,205.360147682904,7.72141769530823,609
CYTIP,8.07727276274905e-31,2.9099725193665,2.53857143972113e-30,201.635149103294,5.52430306952489,187
IGF1,1.23413752760029e-38,2.2524878613188,4.37919767858167e-38,196.61484771662,5.31224686350603,315
CD69,2.2163545575798e-24,3.60329475235727,5.66974421706461e-24,196.257695086634,5.62695264705809,120
SFRP4,8.04667776233824e-25,3.37030163147888,2.08266953848755e-24,186.982204547636,5.22769089707283,129
SELL,2.85459884316613e-18,4.57367435056153,6.15697789702498e-18,184.765468549293,5.37485662527114,78
MMP1,2.18617423480054e-14,5.87196743514573,4.25626842173556e-14,184.697088075822,5.36217427767048,49
SERHL2,1.55353195050183e-43,1.80609857362962,6.21412780200734e-43,178.028270600642,6.87340969942107,608
LPL,6.6042953530621e-25,3.15077205603589,1.72969640199246e-24,175.425242982936,5.23520616305119,139
IL3RA,8.88097876207906e-21,3.7557886343061,2.07852694431638e-20,173.40617034641,5.19947181391742,97
EDNRB,4.24586791217555e-26,2.89426473882016,1.13913529351051e-25,169.086610655157,5.34962238905125,155
ABCC11,1.20166134607681e-40,1.77401027308728,4.48077112096437e-40,163.066489731468,7.07766618619463,609
ADGRE5,2.68153113692507e-27,2.63477390610572,7.37421062654394e-27,161.204450994501,5.21919579622729,197
CD8A,2.43579144325886e-27,2.54954707166861,6.78321667742974e-27,156.235035503301,5.71414479098197,202
FCGR3A,1.58535284057396e-29,2.31866781810036,4.71321114765232e-29,153.760510303885,5.25037574204242,247
EPCAM,6.12733197856364e-37,1.7256693880388,2.07386620812923e-36,143.89129907774,8.63606755282367,609
MEDAG,2.33417902619476e-17,3.73565690291664,4.89066081678903e-17,143.061786445924,5.05253231001838,89
CENPF,1.07398208595899e-36,1.71585896112863,3.57994028652996e-36,142.110339016501,5.83016630423862,610
MRC1,2.10457655895325e-22,2.8322491914676,5.2023240783114e-22,141.365367805747,5.29332562869887,150
CD14,6.59959428698095e-31,1.98638242487266,2.10421846831277e-30,138.03993150006,5.33701574702151,345
DPT,7.20123135083045e-21,2.79728049952445,1.70351709374484e-20,129.737967250452,5.10443349657476,145
PTN,4.63783794198967e-21,2.55774843387882,1.12123554641508e-20,119.753880546551,5.01333328397578,168
PCLAF,1.89987456736321e-30,1.63753960807319,5.88693527915361e-30,112.066275670208,6.03763427254555,609
TACSTD2,3.60360172470331e-30,1.63042611253727,1.10110052699268e-29,110.535747476849,7.38880778358135,611
CXCR4,3.10212873426161e-29,1.62875141186732,9.09957762050073e-29,106.91593206614,6.29117377524697,608
CD9,5.03371210585587e-29,1.62029334322633,1.45712718853723e-28,105.576386082079,7.18149129620184,610
ELF3,5.91633001712754e-29,1.61817352869539,1.69038000489358e-28,105.176831604419,6.13033941775392,608
