Gene,C,Z,Pval,FDR
KRT15,0.007046900290110712,1.9767337,0.02403587057351511,0.03004483821689389
KARS,0.008460049044779218,1.9111297,0.0279939567955469,0.034794748559436824
MKI67,0.00924840073149964,1.843602,0.03262058639837971,0.04031757869462661
DUSP2,0.004949759353226413,1.8275039,0.03381201870683564,0.04155667103633431
CCL8,0.004810026125453643,1.7674209,0.038578883666269485,0.04715196892544048
QARS,0.007347273366037004,1.6136459,0.053302126179828005,0.0647871146937136
ADAM9,0.006677588982916197,1.4887148,0.06828124115883025,0.08253776403814646
JUP,0.006251972018379335,1.4617563,0.07190399492254695,0.08644196110907285
TIFA,0.005185159877572631,1.3809394,0.08364880258354779,0.10001487265424193
SDC4,0.00596085423146255,1.3742459,0.08468268050172612,0.10070372816421484
STC1,0.004380214904241354,1.2268666,0.1099363663944557,0.13003226132677556
DSC2,0.004534466441114447,1.0982287,0.1360523200074627,0.16006155294995614
ANKRD28,0.004409602284290638,1.0781518,0.1404830040923653,0.16439500478893812
EIF4EBP1,0.004387777153760191,1.0355349,0.15020959789105276,0.1748471509842942
SMS,0.0038070111587375833,0.9049174,0.18275456907839194,0.21161055366971698
HDC,0.003936333851202719,0.883261,0.18854762835228844,0.21717527873038459
SEC24A,0.003848372823880618,0.8644925,0.1936587058976723,0.22190060050774954
LARS,0.003328718375321814,0.7507249,0.22640911368298539,0.2568069036759171
TRAPPC3,0.003073793865780896,0.7505658,0.22645699687785414,0.2568069036759171
RORC,0.0027376101395404856,0.66258824,0.2537971523959498,0.286335248856969
RHOH,0.002218583983365689,0.52932644,0.29828950895118694,0.33481475494520985
PTRHD1,0.0019174764838475302,0.44857857,0.326867849217741,0.3650300854208275
LGALSL,0.0012783683062205255,0.31931928,0.37474220777771217,0.4163802308641246
SERPINA3,0.0010839612421092279,0.30558416,0.37996064025788967,0.4181117238302197
C2orf42,0.0012919123833769145,0.30521405,0.38010156711838156,0.4181117238302197
VOPP1,0.0006576551978262241,0.17504545,0.43052196221073535,0.4712180680913521
CXCL16,0.0007006792232656805,0.16166252,0.4357858108676508,0.4746182098558573
SLC25A37,0.0004739966917805418,0.12028048,0.45213048252999993,0.48999362638719207
TUBB2B,0.0003904463305368749,0.10147943,0.45958494148851037,0.4956308192523151
POLR2J3,0.0001888680431597349,0.04245098,0.48306959465144367,0.5184161503576469
THAP2,0.0001023146515509681,0.027159695,0.48916618145065377,0.5224104850443875
LAG3,2.527671201533365e-05,0.0075934036,0.4969706993751294,0.5281814196257414
TYROBP,-6.300908622592221e-05,-0.016401537,0.5065429731222449,0.5357666061869899
TOMM7,-0.00011842556973108668,-0.025968013,0.5103585742465822,0.5372195518385076
SRPK1,-0.0002932269565878024,-0.06932574,0.5276348303340173,0.552760298445161
TRIB1,-0.00040186188882175924,-0.09946215,0.5396143312243257,0.5626310562528514
HPX,-0.0007600864731138053,-0.16294758,0.564720146083642,0.5860303402754775
DNTTIP1,-0.001000284556620448,-0.23972471,0.5947281614223063,0.6122702322248622
CEACAM6,-0.0009253370321839704,-0.24190201,0.5955719531641842,0.6122702322248622
FSTL3,-0.0015958302542929386,-0.37885982,0.6476040178473127,0.6626645764019014
OXTR,-0.00264093730309853,-0.6857691,0.7535706317309387,0.7675256434296598
ACTG2,-0.0032896078508778937,-0.77718145,0.781474136557393,0.7922779264637164
DAPK3,-0.00329328497626086,-0.9239733,0.8222498970573323,0.8297934740945555
ESR1,-0.004010837373213213,-1.0219184,0.8465902422872331,0.8504559511561246
NPM3,-0.004778618823057821,-1.2522678,0.894763857870283,0.894763857870283
