Gene,C,Z,Pval,FDR
CENPF,0.007457095135076773,2.1256838,0.016764799004532427,0.043708225976102404
KLRB1,0.002645990006218641,2.074028,0.01903835455201995,0.049051760551674935
PECAM1,0.004855664015454738,1.9502827,0.025571217163640334,0.06511740184694458
PTN,0.003726979789551383,1.8583652,0.03155858688065714,0.07944058076855073
TOP2A,0.005434367759866396,1.8429004,0.03267177728421827,0.08130817301413412
CD86,0.00365209310103917,1.8102338,0.03512976662618028,0.08644290888914025
TENT5C,0.004773677232298939,1.7571743,0.03944405616042459,0.09598053665703317
SERHL2,0.005251414146648063,1.735217,0.04135119043661569,0.09850620951644426
ENAH,0.0050559812823903335,1.7348735,0.04138160399777567,0.09850620951644426
ITM2C,0.0030109706107056097,1.7237496,0.04237652494509696,0.0997898813223251
RTKN2,0.005840157628622301,1.6976732,0.04478472918188115,0.10433889032799971
PDGFRB,0.0036466568360931377,1.6604866,0.048408302820898585,0.11159387702922938
ESR1,0.004358688534396189,1.6483513,0.0496403004798654,0.11324193546969295
ANGPT2,0.0028945824260008563,1.5862703,0.056338999614335465,0.12719835995401513
SQLE,0.004526738400508197,1.5797513,0.057081921546219654,0.12756062059818474
ANKRD28,0.0036742094572151636,1.4487944,0.07369750897122035,0.16302782287572987
CD14,0.0027382282623029754,1.4211068,0.07764285448984776,0.16915592795295023
SLC5A6,0.004214368303569321,1.4151479,0.07851256813738881,0.16915592795295023
AR,0.004356071090089734,1.4132919,0.07878495274520969,0.16915592795295023
TRIB1,0.0036397566497094066,1.4019685,0.08046232978198209,0.17108009924518522
LRRC15,0.003093599006755317,1.3866878,0.08276849793687119,0.17429135623244993
FAM49A,0.0024066571818888386,1.2513777,0.10539835433031802,0.21983085331752045
CLDN4,0.0035655483428580423,1.235525,0.10831758681210313,0.2237882218099112
QARS,0.003570817284371785,1.2210398,0.11103548075672098,0.22725953538057847
PTGDS,0.0022685281833818346,1.2128403,0.11259543854942916,0.2274820981002081
C1QA,0.0024722812514874877,1.2095715,0.11322168352932732,0.2274820981002081
SFRP4,0.002062249686088883,1.2011374,0.11484894915030042,0.22865381694468903
DUSP2,0.0025645452449993026,1.1890459,0.11721080149117341,0.23125374348258537
ELF3,0.0036055235922792393,1.1533282,0.12438785383091888,0.24322267847295748
FCGR3A,0.002357040890453315,1.0998719,0.13569397547287376,0.26298212945627747
SRPK1,0.0031138674622015997,1.0862513,0.13868392238709204,0.26641911405941365
CXCL16,0.0030684056358902,1.0793561,0.14021451224646275,0.26671076844176833
CD8A,0.0012945743650230952,1.0746244,0.14127145725682705,0.26671076844176833
KLF5,0.00322669348044591,1.0470415,0.1475402109810447,0.2761650102978529
MAP3K8,0.0025800948524184906,1.025745,0.15250589045600554,0.2830405933039425
SERPINB9,0.0024081560458287313,1.012295,0.1556985105695058,0.2865375950816955
MYO5B,0.002907654146854432,0.97439855,0.16492934374303508,0.30099605233103904
RAB30,0.0021694468860832465,0.94832724,0.17148144294181283,0.3103672397046034
IGSF6,0.0019923981495613167,0.92058444,0.17863371444328524,0.3206621595334383
MKI67,0.002724481661007188,0.87602246,0.190508912463704,0.33919879536220465
CCDC6,0.0025923274678212142,0.8660406,0.19323395222946554,0.34127609305042705
SH3YL1,0.00242963275595688,0.8375558,0.20114010559715778,0.35239746500622043
SLAMF1,0.001411321208422551,0.8155273,0.2073852664972496,0.3604553441499814
TUBB2B,0.002007777820100948,0.8095199,0.20910808424908833,0.360587956303546
KRT8,0.002163901059107621,0.775645,0.2189793060919354,0.37465990651667075
AQP1,0.001434549324468106,0.7512818,0.22624154063810753,0.3840844759670197
CDC42EP1,0.0018078140972440377,0.7112152,0.23847544602863807,0.40173940523285956
APOC1,0.001473634064774366,0.69646925,0.24306750487532053,0.4063494928831694
SVIL,0.0018596262569440013,0.6851695,0.2466184782278088,0.4087022146577485
BACE2,0.0017303893326053594,0.680142,0.2482072810478564,0.4087022146577485
CCL5,0.0007500674723850695,0.6554301,0.2560954454970349,0.41677979932680803
ADGRE5,0.0012294105726114795,0.651262,0.25743869166704486,0.41677979932680803
USP53,0.0018395304399915866,0.6469809,0.2588221584860543,0.41677979932680803
BASP1,0.0016262499600390187,0.6191746,0.26790067153041563,0.4260124164971553
CD8B,0.0007371447533483456,0.61751914,0.26844618025848144,0.4260124164971553
